idioma,texto_entidade,tipo_entidade,contexto
pt,Britney,PER,"Em dois mil e sete, sufocada por tamanha pressão_psicológica que a fama lhe trouxe, Britney passou por um momento profundamente delicado em termos de saúde_mental, e teve sua imagem associada a de uma mulher desequilibrada e louca."
pt,Jamie Spears,PER,"Por conta desses eventos, desde 2008 a cantora está sob tutela exclusiva do pai Jamie Spears, que controla suas finanças e, essencialmente, todos os outros aspectos de sua vida."
pt,hashtag freebritney,PER,"Em 2019, seus fãs, através da hashtag freebritney começaram a fazer apontamentos de que Britney sofria violência_patrimonial, violência_física e violência_psicológica."
pt,Britney,PER,"Em 2019, seus fãs, através da hashtag freebritney começaram a fazer apontamentos de que Britney sofria violência_patrimonial, violência_física e violência_psicológica."
pt,Corte,LOC,"Na última semana, Spears rompeu o silêncio e confessou perante a Corte de Los Angeles, na Califórnia que sua tutela é abusiva, que tem seu corpo, sua vida, sua carreira, TUDO sob controle de seu pai e da rede de tutores que ele formou, empresários, médicos, advogados."
pt,Los Angeles,LOC,"Na última semana, Spears rompeu o silêncio e confessou perante a Corte de Los Angeles, na Califórnia que sua tutela é abusiva, que tem seu corpo, sua vida, sua carreira, TUDO sob controle de seu pai e da rede de tutores que ele formou, empresários, médicos, advogados."
pt,Califórnia,LOC,"Na última semana, Spears rompeu o silêncio e confessou perante a Corte de Los Angeles, na Califórnia que sua tutela é abusiva, que tem seu corpo, sua vida, sua carreira, TUDO sob controle de seu pai e da rede de tutores que ele formou, empresários, médicos, advogados."
pt,Britney,PER,"Que até mesmo suas funções sexuais e reprodutivas foram colocadas em xeque, Britney foi obrigada a colocar DIU para que não pudesse engravidar."
pt,Britney Spears,PER,"Toda essa situação vivida por Britney Spears demonstra o quanto nossos corpos são violados pela dominação_patriarcal e pelo machismo, não importa qual posição você ocupe."
pt,Ouvi,PER,"Ouvi, aprendi e pude construir um texto que hoje faz dezesseis anos salvando vidas."
pt,FEMINISTAS,ORG,FEMINISTAS.
pt,ERRADICAR,ORG,Assim foi construída a Lei que previne e pune para ERRADICAR.
pt,Faustão,PER,"Eu não assisto Faustão, e fiquei com essa dúvida se ele faz isso com todo mundo."
pt,Acho,PER,"Acho que tem um agravante na conversa homem e mulher, que é o homem é ensinado a dominar a conversa, e a mulher é ensinada a agradar e ser simpática e acolhedora, por isso a dificuldade de falar por cima da interrupção, e por mais que ele interrompa tanto homens quanto mulheres, quando é com mulheres é pior por conta dessa combinação."
pt,t.s.carm,LOC, O quadrinho da página oito é da t.s.carm.
pt,lorenakaz.art,ORG,"Feito pela lorenakaz.art, esse vídeo demonstra como os insultos vêm de forma sutil, quase que imperceptíveis, disfarçados de elogios ou de proteção."
pt,Quantas,PER,"Quantas vezes os elogios, a boa conversa e a gentileza dos homens só acontece até o momento em que a mulher diz não?"
pt,Faça,PER,Faça sexo apenas com quem você deseja fazer.
pt,Sylvia Plath,PER,"Sylvia Plath foi uma poeta, romancista e contista norte_americana."
pt,Ingrid Bergman,PER,"O termo gaslighting tem origem no filme Gas_Light (À Meia Luz), de 1944, estrelado por Ingrid Bergman e Charles Boyer."
pt,Charles Boyer,PER,"O termo gaslighting tem origem no filme Gas_Light (À Meia Luz), de 1944, estrelado por Ingrid Bergman e Charles Boyer."
pt,Mulheres,LOC,"Mulheres são 91,5_por_cento das vítimas de violência de parceiro íntimo segundo o boletim Violência_por_parceiro_íntimo contra homens e mulheres no Brasil: dados da vigilância de violências e acidentes, do ministério_da_saúde em 2020."
pt,Brasil,LOC,"Mulheres são 91,5_por_cento das vítimas de violência de parceiro íntimo segundo o boletim Violência_por_parceiro_íntimo contra homens e mulheres no Brasil: dados da vigilância de violências e acidentes, do ministério_da_saúde em 2020."
pt,Maternidade,LOC,Maternidade é política.
pt,Brasil,LOC,"Segundo dados do Instituto_Brasileiro_de_Geografia_e_Estatística, 11,5_milhões de mães criam seus filhos sozinhas no Brasil."
pt,Maternidade,LOC,"Maternidade é pauta fundamental a todos os feminismos porque desde a concepção própria, passando por todos os outros acontecimentos que a precedem e sucedem, os debates sobre o assunto revelam como gênero afeta e é afetado por questões_culturais, médicas, mercado de trabalho, direitos e tantos outros eixos ao redor dos quais a sociedade é estruturada."
pt,Debater,PER,Debater maternidade não é apenas relevante; é determinante para as vidas das mulheres.
pt,Dani,LOC,"É como a Dani disse lá na feminiismo, é possível lutar contra a maternidade_compulsória (a ideia de que todas devemos ser mães) sem reproduzir discursos_violentos contra mães e suas dores."
pt,FEfuncaoCuidadora,ORG,"FEfuncaoCuidadora (ao repostar, apague minha hashtag) Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho."
pt,Helena.milanez,PER,"Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com."
pt,pix FaunaMiniaturas@gmail.com,ORG,"Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com."
pt,Helena.milanez,PER,"Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com"
pt,pix FaunaMiniaturas@gmail.com,PER,"Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com"
pt,Mulheres,PER,"Mulheres morrem tentando se adequar a um padrão_de_beleza quase que inalcançável, e a gente precisa falar sobre isso."
pt,Sandra Lee Bartky,PER,"Sandra Lee Bartky (1935 a 2016) foi professora, filósofa, doutora em humanidades, e ativista_feminista."
pt,Foucault,PER,"Em 1988 escreveu seu artigo mais citado,  Foucault, Feminilidade e Poder_Patriarcal, onde detalhou normas socialmente aceitas para o corpo e o comportamento_das_mulheres."
pt,Feminilidade,LOC,"Em 1988 escreveu seu artigo mais citado,  Foucault, Feminilidade e Poder_Patriarcal, onde detalhou normas socialmente aceitas para o corpo e o comportamento_das_mulheres."
pt,Poder_Patriarcal,LOC,"Em 1988 escreveu seu artigo mais citado,  Foucault, Feminilidade e Poder_Patriarcal, onde detalhou normas socialmente aceitas para o corpo e o comportamento_das_mulheres."
pt,comportamento_das_mulheres,ORG,"Em 1988 escreveu seu artigo mais citado,  Foucault, Feminilidade e Poder_Patriarcal, onde detalhou normas socialmente aceitas para o corpo e o comportamento_das_mulheres."
pt,Bartky,PER,"Para Bartky, a feminilidade é uma obrigação a todas as mulheres."
pt,Traduzi,LOC,Traduzi esse pensamento que louisathelast fez no X/twitter que achei bem interessante.
pt,VÍTIMAS,ORG,"A mesma coisa que é usada pra desresponsabilizar homens de seus erros (a embriaguez), é usada pra culpar mulheres de violências a qual foram VÍTIMAS."
pt,Kens,PER,"Mostra como é impossível cumprir tudo que exigem das mulheres, ao quererem que sejamos lindas, boas mães, bem sucedidas na carreira, sexys sem ser vulgar, e etc. As Barbies manipulam os Kens a odiarem e rivalizarem uns com os outros pra tomar o poder, assim como o patriarcado coloca mulheres pra rivalizarem entre si, e odiarem umas às outras."
pt,Claro,ORG,"Claro que o filme não vai questionar o capitalismo, o colonialismo, o imperialismo."
pt,Vocês,LOC,"Vocês observaram quantos homens, especialmente os apaixonados por futebol, ficaram indignados com jogadores sendo presos ou condenados por agressões_sexuais?"
pt,Vocês,LOC,Vocês perceberam se as instituições ou times de futebol propuseram algum tipo de reflexão sobre o assunto?
pt,misoginia,LOC,"Todos se dizem contra os abusos e estupros, mas não há nenhum tipo de ação ou movimentação afim de combater a misoginia reproduzida dentro e fora dos espaços_masculinos."
pt,Mulheres,LOC,"Mulheres estão tendo suas imagens_íntimas expostas em grupos de WhatsApp ou Telegram, onde acontecem trocas desse material entre PARCEIROS e EX_PARCEIROS dessas vítimas."
pt,Telegram,LOC,"Mulheres estão tendo suas imagens_íntimas expostas em grupos de WhatsApp ou Telegram, onde acontecem trocas desse material entre PARCEIROS e EX_PARCEIROS dessas vítimas."
pt,PARCEIROS,ORG,"Mulheres estão tendo suas imagens_íntimas expostas em grupos de WhatsApp ou Telegram, onde acontecem trocas desse material entre PARCEIROS e EX_PARCEIROS dessas vítimas."
pt,Marquinhos,PER,O vereador bolsonarista Marquinhos (Partido_Social_Cristão) simplesmente achou ok agarrar a vereadora Carla Ayres (Partido_Dos_Trabalhadores) em plena sessão na Câmara de Florianópolis (Santa_Catarina).
pt,Carla Ayres,PER,O vereador bolsonarista Marquinhos (Partido_Social_Cristão) simplesmente achou ok agarrar a vereadora Carla Ayres (Partido_Dos_Trabalhadores) em plena sessão na Câmara de Florianópolis (Santa_Catarina).
pt,Câmara de Florianópolis,LOC,O vereador bolsonarista Marquinhos (Partido_Social_Cristão) simplesmente achou ok agarrar a vereadora Carla Ayres (Partido_Dos_Trabalhadores) em plena sessão na Câmara de Florianópolis (Santa_Catarina).
pt,Santa_Catarina,LOC,O vereador bolsonarista Marquinhos (Partido_Social_Cristão) simplesmente achou ok agarrar a vereadora Carla Ayres (Partido_Dos_Trabalhadores) em plena sessão na Câmara de Florianópolis (Santa_Catarina).
pt,Carla,LOC,"Para além da violência_sexual e da clara violência_política, Carla é a primeira vereadora lésbica da cidade, um nome importante na luta pelos direitos das mulheres e LGBT."
pt,LGBT,ORG,"Para além da violência_sexual e da clara violência_política, Carla é a primeira vereadora lésbica da cidade, um nome importante na luta pelos direitos das mulheres e LGBT."
pt,Florianópolis,LOC,"Toda solidariedade à vereadora, e que a casa do povo de Florianópolis faça o mínimo, que é punir e afastar este homem de suas funções."
pt,Cobraremos,ORG,"Cobraremos também da justiça, mesmo que de costume, assediadores saiam impunes se sentindo autorizados a continuarem vendo mulheres como coisas."
pt,Brasil,LOC,"1 a cada 4 pessoas que tem um parto sofre violência_obstétrica no Brasil (fonte: estudo Mulheres brasileiras e gênero nos espaços público e privado, realizado pela Fundação Perseu Abramo em parceria com o SESC)."
pt,Fundação Perseu Abramo,LOC,"1 a cada 4 pessoas que tem um parto sofre violência_obstétrica no Brasil (fonte: estudo Mulheres brasileiras e gênero nos espaços público e privado, realizado pela Fundação Perseu Abramo em parceria com o SESC)."
pt,SESC,ORG,"1 a cada 4 pessoas que tem um parto sofre violência_obstétrica no Brasil (fonte: estudo Mulheres brasileiras e gênero nos espaços público e privado, realizado pela Fundação Perseu Abramo em parceria com o SESC)."
pt,Agência_Nacional_de_Saúde,LOC,"Denuncie: Secretaria_de_Saúde, Agência_Nacional_de_Saúde, ou Ligue 180."
pt,Ligue,PER,"Denuncie: Secretaria_de_Saúde, Agência_Nacional_de_Saúde, ou Ligue 180."
pt,Woody Allen,PER,"Se você gosta de Woody Allen, é indispensável que você assista esse documentário: Farrow v. Allen, que está no momento na HBO max."
pt,Farrow v. Allen,PER,"Se você gosta de Woody Allen, é indispensável que você assista esse documentário: Farrow v. Allen, que está no momento na HBO max."
pt,HBO,ORG,"Se você gosta de Woody Allen, é indispensável que você assista esse documentário: Farrow v. Allen, que está no momento na HBO max."
pt,Allen,PER,"Isso não é um anúncio, é que o documentário é excelente mesmo, e tirar qualquer dúvida que alguém possa ter de que Allen abusou da filha."
pt,Mia Farrow,PER,"Não o boicotar é ser conivente com o que ele fez: não só com o abuso, mas com a difamação de Mia Farrow, pra tentar acobertar o próprio crime."
pt,Mia,PER,Mia ficou anos sem conseguir trabalho nos EUA.
pt,EUA,LOC,Mia ficou anos sem conseguir trabalho nos EUA.
pt,EUA,LOC,"Ele nunca assumiu seus erros, continua negando até hoje, mas pelo menos, depois de 30 anos do abuso, está sofrendo algumas consequências, com dificuldade de trabalhar nos EUA."
pt,Mulheres,LOC,"Mulheres de diferentes países reunidas pelo Centro_de_Liderança_Global_de_Mulheres, em 1991, iniciaram a campanha 16 dias de ativismo pelo fim da violência_contra_as_mulheres, com o objetivo de promover debates, denunciar, prevenir e eliminar a violência_contra_as_mulheres e meninas em todo o mundo, segundo a Ong Mulheres Brasil."
pt,Ong Mulheres Brasil,LOC,"Mulheres de diferentes países reunidas pelo Centro_de_Liderança_Global_de_Mulheres, em 1991, iniciaram a campanha 16 dias de ativismo pelo fim da violência_contra_as_mulheres, com o objetivo de promover debates, denunciar, prevenir e eliminar a violência_contra_as_mulheres e meninas em todo o mundo, segundo a Ong Mulheres Brasil."
pt,Brasil,LOC,"No Brasil, a campanha acontece desde 2003 e tem duração de 21 dias, com início no dia 20 de novembro, quando se celebra o Dia Nacional da Consciência Negra, e término no dia 10 de dezembro, Dia Internacional dos Direitos Humanos."
pt,Brasil,LOC,"Neste sentido, a campanha no Brasil cumpre um papel imprescindível, ao enfatizar a discriminação sofrida pelas mulheres_negras."
pt,Carlota Pereira de Queirós de São Paulo,PER,Carlota Pereira de Queirós de São Paulo foi a primeira mulher a ser eleita deputada federal da América Latina!
pt,América,LOC,Carlota Pereira de Queirós de São Paulo foi a primeira mulher a ser eleita deputada federal da América Latina!
pt,Celina Guimarães,PER,"Regionalmente, tivemos a potiguar Celina Guimarães foi a primeira mulher registrada como eleitora, e a primeira a votar em 1927 em Mossoró, Rio_Grande_Do_Norte."
pt,Mossoró,LOC,"Regionalmente, tivemos a potiguar Celina Guimarães foi a primeira mulher registrada como eleitora, e a primeira a votar em 1927 em Mossoró, Rio_Grande_Do_Norte."
pt,Alzira Soriano,LOC,Alzira Soriano foi a primeira prefeita eleita em setembro de 1928.
pt,Lorena Cabnal,LOC,"Lorena Cabnal é guatemalteca e integrante da Red de Sanadoras Ancestrales del Feminismo Comunitario Territorial, desde Iximulew, Guatemala."
pt,Red de Sanadoras Ancestrales del Feminismo Comunitario Territorial,ORG,"Lorena Cabnal é guatemalteca e integrante da Red de Sanadoras Ancestrales del Feminismo Comunitario Territorial, desde Iximulew, Guatemala."
pt,Iximulew,LOC,"Lorena Cabnal é guatemalteca e integrante da Red de Sanadoras Ancestrales del Feminismo Comunitario Territorial, desde Iximulew, Guatemala."
pt,Guatemala,LOC,"Lorena Cabnal é guatemalteca e integrante da Red de Sanadoras Ancestrales del Feminismo Comunitario Territorial, desde Iximulew, Guatemala."
pt,Cabnal,LOC,"Cabnal tem um forte defesa do território: Se queremos feminismos que defendam os corpos_emancipados, mas esses feminismos não falam de territórios emancipados, então a luta do feminismo não se sustenta."
pt,Mulheres,LOC,"Mulheres que de alguma forma combateram a misoginia, ou defenderam direitos pra mulheres."
pt,misoginia,LOC,"Mulheres que de alguma forma combateram a misoginia, ou defenderam direitos pra mulheres."
pt,Aviso,LOC,"Aviso: algumas mulheres apesar de pioneiras nos aspectos mencionados, também foram influenciadas por sua época e defenderam coisas que hoje consideramos erradas."
pt,você,LOC,"Se você conhece outras, pode me falar."
pt,Lei_do_Feminicídio,ORG,"Citam a Lei_Maria_da_Penha, a Lei_do_Feminicídio, a delegacia_da_mulher como privilégios de mulheres, ignorando o fato de que foram medidas importantes do combate_à_violência que mulheres sofrem dentro de casa, em geral de parceiros."
pt,misoginia,LOC,"Uma ideia legislativa pra criminalização da misoginia está em votação no site e_cidadania, o link está nos stories."
pt,Creches,LOC,Creches e escolas de qualidade com atividades no período da tarde.
pt,Autocuidado,PER,Autocuidado não é um conceito superficial e fúti Autocuidado é um processo.
pt,fúti Autocuidado,LOC,Autocuidado não é um conceito superficial e fúti Autocuidado é um processo.
pt,Audre Lorde,PER,"Evocando novamente Audre Lorde: Nós temos que descobrir como sobreviver em um sistema que decide que a vida, para algumas, exige a morte e a exclusão de outras."
pt,Lorde,PER,"Quando Lorde fala em algumas de nós, é sobre a importância de fazermos recortes, sobre uma discussão intereseccionais."
pt,Canal Preto,LOC,"Nesse vídeo importantíssimo do Canal Preto, 2019  Angela Davis e Vilma Reis, alertam sobre a necessidade das políticas públicas do País e do mundo darem atenção às pautas das mulheres negras."
pt,Angela Davis,LOC,"Nesse vídeo importantíssimo do Canal Preto, 2019  Angela Davis e Vilma Reis, alertam sobre a necessidade das políticas públicas do País e do mundo darem atenção às pautas das mulheres negras."
pt,Vilma Reis,PER,"Nesse vídeo importantíssimo do Canal Preto, 2019  Angela Davis e Vilma Reis, alertam sobre a necessidade das políticas públicas do País e do mundo darem atenção às pautas das mulheres negras."
pt,País,LOC,"Nesse vídeo importantíssimo do Canal Preto, 2019  Angela Davis e Vilma Reis, alertam sobre a necessidade das políticas públicas do País e do mundo darem atenção às pautas das mulheres negras."
pt,Quantas,PER,"Quantas vezes um estranho sentou desconfortavelmente perto de mim no ônibus e me encarou de cima a baixo, e eu ainda tive medo de só levantar e sair, a fim de não o ofender?Nós sorrimos quando somos assediadas na rua ou recebemos cantadas de idiotas."
pt,Feminilidade,PER,Feminilidade há muito vem sido associada à ser passiva e dócil.
pt,@janarambow,PER,Por @janarambow.
pt,relativizar,LOC,"Cultura de estupro é justificar, legitimar, relativizar, banalizar, glamurizar, ou mesmo que sem intenção, levar a violência sexual."
pt,Audre Geraldine Lorde Audre Lorde,PER,"arquivosinspira  Audre Geraldine Lorde Audre Lorde, foi uma grande pensadora e escritora, feminista negra e lésbica, filha de imigrantes caribenhos e uma grandes defensoras dos direitos humanos."
pt,Não,PER,"Não é novidade pra ninguém que cólicas menstruais podem ser infernais e, apesar de algumas mulheres não terem TPM intensa, grande parte lida com uma série de sintomas que exigem repouso e cuidados (mas quem consegue se dar esse luxo?)."
pt,John Guillebaud,PER,"Recentemente, a ciência trouxe um parecer sobre as dores menstruais: o professor de saúde reprodutiva John Guillebaud, da UCL (University_College_London), relatou que as cólicas intensas podem ser tão dolorosas quando um ataque cardíaco."
pt,Sasheer Zamata,PER,A comediante Sasheer Zamata (@thesheertruth) usou o humor para praticamente desenhar como é nociva essa ideia de que as mulheres têm que lidar sozinhas com suas questões.
pt,não,PER,"Sempre ouvimos o quanto as mulheres são fortes e capazes de enfrentar qualquer desafio, não importa a dificuldade, o que é verdade."
pt,Também,ORG,"Também podemos ser fortes e, ainda assim, nos abrir sobre como nos sentimos, escreveu a ginecologista Luísa Guedes (@draluisaguedes), que traduziu o vídeo de Sasheer."
pt,Luísa Guedes,PER,"Também podemos ser fortes e, ainda assim, nos abrir sobre como nos sentimos, escreveu a ginecologista Luísa Guedes (@draluisaguedes), que traduziu o vídeo de Sasheer."
pt,Sasheer,PER,"Também podemos ser fortes e, ainda assim, nos abrir sobre como nos sentimos, escreveu a ginecologista Luísa Guedes (@draluisaguedes), que traduziu o vídeo de Sasheer."
pt,você,LOC,Dá o play para conferir e conta pra gente: você já se sentiu constrangida por abrir o jogo quando está sofrendo na TPM?
pt,padrão_de_beleza,ORG,Essas blogueiras espalham o padrão_de_beleza.
pt,padrão_de_beleza,ORG,"O padrão_de_beleza coloca a juventude como ideal de beleza, juventude essa que tem relação com ingenuidade e falta de experiência, ou seja, mais fácil de ser manipulada."
pt,Obvio,PER,"Obvio que existem as exceções, mas não da pra gente ignorar que as mulheres foram silenciadas por muito tempo nas relações."
pt,Feminicídio,ORG,"para relacionamentos abusivos, deixando as expostas a violências de toda espécie que tem seu ápice no Feminicídio."
pt,Mulheres,LOC,"Mulheres jogam com a falsa sensação de poder que os efeitos do ciúme exerce sobre seus companheiros, sem se dar conta de que em sociedade estruturada pelo machismo, estamos sempre em desvantagem, logo, não temos poder."
pt,misoginia,LOC,"Qualquer interferência nesse plano, que faça com que um homem pense que pode perder o que é seu para outro homem, ou que a mulher frágil pode simplesmente ir, somado ao machismo estrutural e a misoginia, pode descambar no que vimos acontecer diariamente: violência e morte."
pt,Confesso,PER,Confesso que quando estive solteira me sentia com menor status social.
pt,canal da @zanellovaleska,LOC,"Para saber mais sobre esse assunto recomendo o vídeo Dispositivo Amoroso do canal da @zanellovaleska no YouTube e o livro dela Saúde Mental, Gênero e Dispositivos."
pt,Saúde Mental,ORG,"Para saber mais sobre esse assunto recomendo o vídeo Dispositivo Amoroso do canal da @zanellovaleska no YouTube e o livro dela Saúde Mental, Gênero e Dispositivos."
pt,Gênero,ORG,"Para saber mais sobre esse assunto recomendo o vídeo Dispositivo Amoroso do canal da @zanellovaleska no YouTube e o livro dela Saúde Mental, Gênero e Dispositivos."
pt,Dispositivos,LOC,"Para saber mais sobre esse assunto recomendo o vídeo Dispositivo Amoroso do canal da @zanellovaleska no YouTube e o livro dela Saúde Mental, Gênero e Dispositivos."
pt,Roda Viva,LOC,"Em entrevista ao programa Roda Viva, nesta segunda, Ana Maria Braga contou como quebrou o braço ao tentar fugir de um diretor de TV que a assediou."
pt,Ana Maria Braga,PER,"Em entrevista ao programa Roda Viva, nesta segunda, Ana Maria Braga contou como quebrou o braço ao tentar fugir de um diretor de TV que a assediou."
pt,Rafael Soriano,PER,"O técnico Rafael Soriano, da Desportiva, foi flagrado agredindo a assistente de arbitragem Marcielly Netto em campo durante o intervalo da partida contra o Nova Venécia."
pt,Desportiva,ORG,"O técnico Rafael Soriano, da Desportiva, foi flagrado agredindo a assistente de arbitragem Marcielly Netto em campo durante o intervalo da partida contra o Nova Venécia."
pt,Marcielly Netto,PER,"O técnico Rafael Soriano, da Desportiva, foi flagrado agredindo a assistente de arbitragem Marcielly Netto em campo durante o intervalo da partida contra o Nova Venécia."
pt,Nova Venécia,LOC,"O técnico Rafael Soriano, da Desportiva, foi flagrado agredindo a assistente de arbitragem Marcielly Netto em campo durante o intervalo da partida contra o Nova Venécia."
pt,TV Globo,ORG,"O mistério que rondava os corredores do departamento de humor da TV Globo desde agosto sobre a demissão sem explicações de Marcius Melhem, até então poderoso diretor do núcleo com 20 anos na emissora, chegou ao fim: a denúncia de Dani Calabresa contra o ex_diretor de assedio sexual não apenas teve prosseguimento como ganhou coro de outras profissionais da casa, revela a colunista MONICA BERGAMO da FOLHA."
pt,Marcius Melhem,LOC,"O mistério que rondava os corredores do departamento de humor da TV Globo desde agosto sobre a demissão sem explicações de Marcius Melhem, até então poderoso diretor do núcleo com 20 anos na emissora, chegou ao fim: a denúncia de Dani Calabresa contra o ex_diretor de assedio sexual não apenas teve prosseguimento como ganhou coro de outras profissionais da casa, revela a colunista MONICA BERGAMO da FOLHA."
pt,MONICA BERGAMO,PER,"O mistério que rondava os corredores do departamento de humor da TV Globo desde agosto sobre a demissão sem explicações de Marcius Melhem, até então poderoso diretor do núcleo com 20 anos na emissora, chegou ao fim: a denúncia de Dani Calabresa contra o ex_diretor de assedio sexual não apenas teve prosseguimento como ganhou coro de outras profissionais da casa, revela a colunista MONICA BERGAMO da FOLHA."
pt,FOLHA,ORG,"O mistério que rondava os corredores do departamento de humor da TV Globo desde agosto sobre a demissão sem explicações de Marcius Melhem, até então poderoso diretor do núcleo com 20 anos na emissora, chegou ao fim: a denúncia de Dani Calabresa contra o ex_diretor de assedio sexual não apenas teve prosseguimento como ganhou coro de outras profissionais da casa, revela a colunista MONICA BERGAMO da FOLHA."
pt,Melhem,LOC,"Na nota em que comunicava o desligamento de Melhem, no entanto, a emissora nada disse sobre nenhuma dessas denúncias de assédio."
pt,Globo,ORG,"Após o posicionamento público da Globo, algumas das mulheres se organizaram para reclamar sobre o desfecho com a direção da emissora."
pt,Mayra Cotta,PER,"A colunista conversou com diversas vítimas, que temiam ter seus nomes expostos, mas designaram a advogada criminalista Mayra Cotta, que as assessora no caso, a dar um depoimento sobre o assunto."
pt,Mayra,PER,Mayra falou sobre o receio das vítimas e o porquê de adotarem a estratégia de formar um grupo.
pt,Melhem,LOC,A advogada descreveu Melhem como um chefe que se vale de sua posição para tentar usar o poder que tinha de contratar ou demitir para as constranger a se envolver com ele.
pt,Labour Organization,ORG,"Estudo women at work, international Labour Organization."
pt,Acho,PER,Acho sim extremamente triste pessoas se submeterem a prostituição por vulnerabilidade social.
pt,prostituição,ORG,Acho sim extremamente triste pessoas se submeterem a prostituição por vulnerabilidade social.
pt,problemático,PER,"O meu ponto é que apesar de problemático, não é a mesma coisa que estupro."
pt,Holanda,LOC,Pamela Holanda tem 27 anos.
pt,Pamela,LOC,"Há outras pessoas na cena: uma mulher que tenta afagar o rosto de Pamela; outro homem que entra e sai da casa como que para mediar, mas desiste."
pt,Pamela,LOC,Pamela continua sendo espancada.
pt,Temia,PER,Temia o que muitas outras temem: ficar desprotegida e o agressor voltar com ainda mais fúria.
pt,Estado,LOC,Precisamos agir: precisamos de um Estado que proteja as mulheres.
pt,Pamela,PER,Precisamos de um ministério das mulheres que pare de perseguir mulheres e olhe para as mulheres concretas como Pamela e cuide delas.
pt,afeto,PER,"Isso que a gente tá falando aqui de dinheiro, e não de afeto, porque ainda há aqueles que pensam que os 300 reais cobrem tudo, incluindo a presença paternal."
pt,Helena,PER,"Sou eu ali atrás, Helena, criadora deste projeto, oferecendo pra vocês o melhor conteúdo que posso criar com carinho e dedicação."
pt,Criei,LOC,"Criei uma campanha de apoio mensal, onde você pode contribuir a partir de 1 real apenas, e já será de grande ajuda, pois se 10 (porcento) das pessoas que me seguem me ajudarem com 1 real por mês eu já consigo me manter."
pt,Deixei,PER, Deixei o link da campanha na Bio.
pt,Bio,LOC, Deixei o link da campanha na Bio.
pt,Congresso,LOC,"Por isso, não basta elegermos mulheres, é preciso que coloquemos no Congresso, mulheres que se alinhem as pautas das mulheres e minorias."
pt,Brasil,LOC,"No Brasil, a maioria das mulheres, sobretudo as mulheres negras, enfrentam uma realidade de enorme vulnerabilidade econômica, além de toda a vulnerabilidade de segurança que enfrentam."
pt,Mulheres,PER,"Mulheres negras recebem menos que homens brancos, recebem menos que mulheres brancas,  estão na base da pirâmide."
pt,Sofro,LOC,"Sofro pesado com síndrome da impostora, e você?"
