idioma,texto_entidade,tipo_entidade,contexto
pt,África,LOC,"Mãe Áfricana/Ela não tem medo do que há de vir a acontecer amanhã;/ Ela acredita que pode não mais partir de manhã/ Mas mesmo assim, ela prepara suas forças e amamenta seu ninho/ Numa noite de guerra, sem carinho./ Das vezes que precisa chorar, ela não tem medo de chorar/ As mães de África aprenderam logo cedo que chorar é respirar a alma./ Os olhos precisam dizer o que nos mata e acalma/ As mães de África aprenderam também a moer as incertezas para as cozinha na panela da vitória./ Mãe Áfricana não sabe dizer adeus,/ Quando se vai em corpo, sua alma fica nos lembrando das suas lutas armadas./ Uma mulher africana é uma flor eternamente amada/ Em África, não se abandona as pessoas, Um dia precisamos delas!/ Quando se pode declarar uma vitória tão sólida sem as mulheres? /"
pt,"conseguem,/ Coragem",LOC,"As mulheres não mentem/ Quando dizem que conseguem,/ Coragem de gerar, nenhum homem tem!/ Uma mulher corajosa é africana/ África dos nossos ancestrais/ África nossa também!/ Lizete Sitoe"
pt,África,LOC,"As mulheres não mentem/ Quando dizem que conseguem,/ Coragem de gerar, nenhum homem tem!/ Uma mulher corajosa é africana/ África dos nossos ancestrais/ África nossa também!/ Lizete Sitoe"
pt,África,LOC,"As mulheres não mentem/ Quando dizem que conseguem,/ Coragem de gerar, nenhum homem tem!/ Uma mulher corajosa é africana/ África dos nossos ancestrais/ África nossa também!/ Lizete Sitoe"
pt,Estado das Mulheres,LOC,Ecos da Convenção Nacional sobre o Estado das Mulheres em Moçambique que contou com a presença da Sua Excelência Presidente da Assembleia da República;  Dra.
pt,Moçambique,LOC,Ecos da Convenção Nacional sobre o Estado das Mulheres em Moçambique que contou com a presença da Sua Excelência Presidente da Assembleia da República;  Dra.
pt,Dra,PER,Ecos da Convenção Nacional sobre o Estado das Mulheres em Moçambique que contou com a presença da Sua Excelência Presidente da Assembleia da República;  Dra.
pt,Sua Excelência Elsbeth Akkerman,PER,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Países Baixos,LOC,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Maria Zé Artur,PER,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Coordenadora do Board,PER,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Observatório das Mulheres,LOC,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Magnífico Reitor,PER,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Universidade Pedagógica Jorge Ferrão,LOC,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Representante,LOC,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Secretaria,LOC,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
pt,Estado de Assuntos Sociais,LOC,"Esperança Nhiuane Bias, Sua Excelência Elsbeth Akkerman; Embaixadora dos Países Baixos, Maria Zé Artur; Coordenadora do Board do Observatório das Mulheres, Magnífico Reitor da Universidade Pedagógica Jorge Ferrão, Representante  do GAMCVV; Gabinete_de_Atendimento_a_Mulheres, Crianças Vítimas de Violência, Secretaria do Estado de Assuntos Sociais, Juízes, IPAJ Instituto_de_Patrocínio_Jurídico, (INE) Instituto_Nacional_de_Estatística, pelos Ministérios_da_Saúde, Ministério_de_Género, Criança_e_Acção_Social, Ministério_da_Justiça e Ministério_do _nterior, Organizações da Sociedade Civil, representante do (SPAS) Serviço_Provincial_de_Assuntos_Sociais, Activistas, Academia e Delegadas  provenientes de todas Províncias do País."
