termo,linha,before,keyword,after,texto_original,pais,idioma
sociedade,66,marcha para chamar atenção de o,sociedade,sobre o preconceito e injustiço,"Marcha pelo fim da violência contra mulheres reúne dezenas na capital A Marcha pelo fim da violência contra mulher reuniu dezenas de homens e mulheres na cidade de Maputo, que apesar do calor intenso que se fazia sentir na manhã de sábado, 25 de Novembro, não deixaram de apelar para um mundo mais pacifico para as mulheres. Empunhando dísticos, cartazes, papel de cartão, com canções à mistura, danças, poemas, fizeram o trajecto da estátua de Eduardo Mondlane até à Praça da Independência para dizer basta ao fim da violência contra as mulheres. Tire os olhos de mim, meu corpo não é um bem público Talvez é não, não sei é não. Se eu não disser Sim, é não, nem santas, nem prostitutas, apenas mulheres, não me violes, não me mates, basta o feminicídio não nos matem, nada justifica a violência , foram algumas mensagens patentes nas diversas plataformas. A Marcha foi coordenada pelo Fórum Mulher e mais organizações como LBQ Por Ela, ADPP, MOVFEMME, KUTENGA, AESMO e Hixikamwe. Nas mensagens a LBQ Por Ela  juntou a voz para reafirmar o grito contra a mulher lésbica, contando historias de todas que não conseguiram terminar suas lutas por serem quem são. Ezequiela Muianga falou do fardo das mulheres vítimas de violência dentro de um sistema em que não reconhece as mulheres lésbicas. Por seu turno, a Associação das Viúvas e Mãe Solteiras (AVIMAS) disse estar presente na marcha para chamar atenção da sociedade sobre o preconceito e injustiça que recai sobre a mulher viúva. Quando  a mulher se separa do marido/ é viúva, não tem direito sobre alguma coisa, então estamos aqui para falar que a mãe solteira, viúva  e a criança órfã , tem direito na sociedade, disse Isabel Muiambo.  Na marcha esteve representada a Rede Hopem, que na voz de Bayano Baly, que disse estar na marcha para dar o apoio e solidariedade com esta luta, neste combate  para que se erradique a violência contra as mulheres, a Violencia baseada em gênero ,  e as pessoas com deficiência.",,Portugues
sociedade,50,enriquecendo o participação ativo de o,sociedade,civil para promoção de o igualdade,"Associação Moçambicana de Mulheres de Carreira Jurídica  concede entrevista dupla sobre uniões prematuras e assédio sexual. Associação Moçambicana de Mulheres de Carreira Jurídica (AMMCJ) concedeu a 06 de Junho um entrevista dupla às Rádio Wimbe e Rádio Sem Fronteiras em Pemba para falar sobre as uniões prematuras e o assédio sexual. A entrevista durou cerca de meia hora no gabinete do AMMCJ e abordou primeiro o conceito de uniões prematuras e de seguida o assédio. Sobre o primeiro tema, os jornalistas quiseram saber sobre as penalizações em termos legais, ou seja, saber se existe uma lei. De seguida saber em que artigo estão previstas as penalizações. Os mesmos quiseram saber do nível de cumprimento do nível de cumprimento das uniões prematuras, que na opinião do AMMCJ acredita que a lei ainda não é do domínio público e há necessidade de mais divulgação sobre a legislação. É difícil cumprir uma lei que não se conhece, pois as pessoas preferem ver os outros a passar por sanções e só assim vai cumprir a legislação. Ou seja, acredita vendo. Isto porque as pessoas não têm a cultura jurídica, referiu a coordenadora da AMMCJ, Augusta Iaquite. Mas estamos num bom caminho, porque uns e outros casos tem sanções, comentou, acrescentando que há pessoas nas palestras que esperam que os atos de uniões prematuras cheguem ao fim. E em relação ao assédio sexual, a AMMCJ referiu que o pode ocorrer nas escolas ou local de trabalho ou qualquer outro sitio, mas por quem tem poder. Por vezes as pessoas não percebem que estão a ser assediadas, e o assédio parte dos homens ou das mulheres, embora os primeiros sejam os mais tentados a fazê_lo. Muitas estudantes são assediadas pelos professores, mas não denunciam por temer represálias, afirmou. A AMMCJ realizou os programas no âmbito do projeto Enriquecendo a participação ativa da sociedade civil para promoção da Igualdade de Gênero e o Empoderamento das mulheres e Raparigas do Programa de Apoio aos atores não Estatais (PAANE), que conta com apoio da União Europeia.",,Portugues
sociedade,36,enriquecer o participação ativo de o,sociedade,civil para promoção de o igualdade,"Debate radiofónico sobre interrupção voluntária da gravidez na Rádio Pax A Rede de Proteção da Criança em Sofala (SOPROC) participou de um debate radiofônico na Rádio Pax, da cidade da Beira, para abordar a importância da Interrupção voluntária da gravidez nas unidades sanitárias. O debate de cerca de uma hora visava desencorajar aos ouvintes e a população em geral a nível do distrito a optarem pelo aborto inseguro sem cuidados de profissionais de saúde. Neste contexto foram abordados aspectos como o uso de métodos contraceptivos, que vão desde o uso de implantes, pílulas, preservativos, dispositivo intra_uterino entre outros. O debate foi realizado no âmbito do projeto enriquecendo a participação ativa da sociedade civil para promoção da Igualdade de Gênero e o empoderamento das mulheres e raparigas do Programa de Apoio aos atores não estatais (PAANE), que conta com apoio da União Europeia. O debate decorreu no dia 07 de Junho do presente.",,Portugues
sociedade,4,aberto com o movimento de o,sociedade,civil que advogar por o direito,"Teve no dia 02 de Dezembro na Cidade de Maputo, o Fórum Anual do Gabinete da Mulher Parlamentar. Na ocasião, as mulheres parlamentares apresentaram o portal do Barómetro das Mulheres no seu relatório de trabalho anual. Paralelamente, ao Observatório das Mulheres foi conferido um espaço para abordar a temática: Barómetro das Mulheres e a situação da Violência: o que as mulheres esperam das Parlamentares?. Durante a apresentação foram partilhadas estatísticas de violência doméstica e sexual referentes ao ano 2022 bem como casos de feminicídio, desaparecimento de mulheres, expropriação de terras, troca de donativos por sexo,  violência_doméstica física e patrimonial, violência_sexual, acusações de feitiçaria contra idosas, violência_económica, situação da mulher reclusa, violência em que o perpetrador usa do poder político para assegurar impunidade vs. a situação da representatividade das mulheres. Na sequência, foi sugerido um maior engajamento das mulheres parlamentares para servirem de ponte e voz das mulheres Moçambicanas quer através de seguimento dos casos e visitas às vítimas, quer através de diálogos periódicos públicos e abertos com o movimento da sociedade civil que advoga pelos direitos das mulheres em cada círculo eleitoral. Foram também propostas acções de fiscalização da execução de políticas públicas e uma auditoria a eficácia da lei sobre a violência doméstica a escala nacional. As Parlamentares receberam com apreço, reconheceram os desafios, fizeram compromissos e sublinharam que o homem parlamentar deve também fazer parte deste diálogo porque é por vezes parte do problema. O evento, presidido pela Presidente da Assembleia da República, Dra. Esperança Bias, contou igualmente com a presença da Ministra do Género, Criança e Acção Social, bem como de parceiros.",,Portugues
corpo,66,o olho de eu meu,corpo,não ser um bem público,"Marcha pelo fim da violência contra mulheres reúne dezenas na capital A Marcha pelo fim da violência contra mulher reuniu dezenas de homens e mulheres na cidade de Maputo, que apesar do calor intenso que se fazia sentir na manhã de sábado, 25 de Novembro, não deixaram de apelar para um mundo mais pacifico para as mulheres. Empunhando dísticos, cartazes, papel de cartão, com canções à mistura, danças, poemas, fizeram o trajecto da estátua de Eduardo Mondlane até à Praça da Independência para dizer basta ao fim da violência contra as mulheres. Tire os olhos de mim, meu corpo não é um bem público Talvez é não, não sei é não. Se eu não disser Sim, é não, nem santas, nem prostitutas, apenas mulheres, não me violes, não me mates, basta o feminicídio não nos matem, nada justifica a violência , foram algumas mensagens patentes nas diversas plataformas. A Marcha foi coordenada pelo Fórum Mulher e mais organizações como LBQ Por Ela, ADPP, MOVFEMME, KUTENGA, AESMO e Hixikamwe. Nas mensagens a LBQ Por Ela  juntou a voz para reafirmar o grito contra a mulher lésbica, contando historias de todas que não conseguiram terminar suas lutas por serem quem são. Ezequiela Muianga falou do fardo das mulheres vítimas de violência dentro de um sistema em que não reconhece as mulheres lésbicas. Por seu turno, a Associação das Viúvas e Mãe Solteiras (AVIMAS) disse estar presente na marcha para chamar atenção da sociedade sobre o preconceito e injustiça que recai sobre a mulher viúva. Quando  a mulher se separa do marido/ é viúva, não tem direito sobre alguma coisa, então estamos aqui para falar que a mãe solteira, viúva  e a criança órfã , tem direito na sociedade, disse Isabel Muiambo.  Na marcha esteve representada a Rede Hopem, que na voz de Bayano Baly, que disse estar na marcha para dar o apoio e solidariedade com esta luta, neste combate  para que se erradique a violência contra as mulheres, a Violencia baseada em gênero ,  e as pessoas com deficiência.",,Portugues
corpo,69,próprio vida cuido de o meu,corpo,seleciono meu pensamento escolher o,"Preciso de mim como nunca precisei. Cheguei a uma fase da minha vida que aos olhos do mundo pareço não dar valor ao que me rodeia nem ao que devia constituir preocupação. A postura afeminada, um tom de voz mais baixo, um andar mais cauteloso, livros menos radicais, amizades comportadas, ter os pés no chão, e etc. Recentemente, estranhei a ausência de lágrimas ao sair de uma relação amorosa onde tanto me dediquei, amei e fiz planos. Namoro terminou e no dia seguinte segui sorrindo, leve e solta e com uma vaga para o próximo. Já não me importo com o que vão pensar ao me verem descalça a caminhar na estrada. Na verdade, o lugar da minha mente onde armazenava o peso na consciência tende a reduzir. Para mim, desde que não faça mal ao outro, a liberdade é ainda um campo virgem por se experimentar. Cheguei a esta fase onde quando as lágrimas me invadem permito que elas beijem meu rosto, me permito sentir dor e chorar, gritar e abraçar.Distribuo elogios aos rostos que me transmitem energias positivas, colho flores na rua, ajudo pessoas a atravessar, converso com a senhora das badjias, em fim, os meus dias são sim finalmente poesia. E ainda bem que estou assim e aqui. Preciso de mim como nunca precisei e este exercício de me pertencer e ser inteiramente minha tem evoluído todos os dias. Tenho um check_list de auto cuidado e sigo este ritual diário de amor próprio de forma minuciosa, tirando os dias da ressaca, claro! Estou numa relação tão intensa, tão saudável e tão madura e responsável comigo mesma, tenho realizado o que desejei que pudesse ser um amor dado, fazendo de mim o amor da minha própria vida. Cuido do meu corpo, seleciono meus pensamentos, escolho o que dar valor,me  dou prazer e por vezes escolho amar o outro sem que este amor signifique tirar um pouco de mim. Estou egoísta sim e tenho me amado, ligado pra mim mesma, saído sozinha pra apreciar o sol, tomado cerveja no quarto e rido dos meus tombos, tenho lido tudo e todos. Tenho rezado, me encontrado e construído a cada dia as mulheres que fui, as mulheres que sou e os seres humanos que hão de vir de mim.",,Portugues
corpo,3,violento ter estar a ganhar,corpo,incluindo em o discurso de o rede,"Sabias que no primeiro trimestre de 2023 foram reportados um total de 2.903 casos de violência_doméstica, dos quais, 86 casos foram contra crianças (52 raparigas e 34 rapazes), 2.691 contra adultos (2.258 mulheres e 433 homens) e 126 contra Idosos (74 mulheres e 52 homens), equivalentes a 3 porcento, 92.7 porcento e 4.3 porcento, respectivamente. Espelhando apenas uma pequena porção dos casos tramitados pelo Departamento de Atendimento às Vítimas de Violência, estes dados espelham o quão a mulher continua a maior vítima representando 86.2 porcento das vítimas entre adultos. Apesar da aprovação da lei 29/2009 de 29 de Setembro e da criação do Mecanismo Multissectorialde Atendimento à Mulher Vítima de Violência em 2012, o extremismo violento têm estado a ganhar corpo incluindo nos discursos das redes sociais e as mulheres tendem a ser novamente culpabilizadas pela violência que sofrem. (Fonte. DAFMVV 2023)",,Portugues
corpo,94,e condenar este chacina meu,corpo,que dever ser templo de,"Eu era apenas um bebé, Que o leite materno do peito e do biberão. Foi bruscamente trocado pelo sémen. O que era quente e doce, afago e alento, Continua quente, mas agora tenebroso e violento. Eu era apenas um bebé, Mas minha primeira inspiração se misturou ao ar, Uma estranha quietude tomou conta dos kulungwanas. Minha chegada não foi motivo de celebração, Pois não carregava um pénis entre as pernas. E foi então que fui brindada com algemas, E minha triste sentença foi proferida: Condenada à morte desde o meu primeiro choro, Tudo pelo simples fato de ter nascido mulher. Eu era apenas um bebé, A vida que mal havia começado me conhecer, Já estava marcada por destino sombrio e sujo. Eu era apenas um bebé, Mas quem ousaria contestar a sentença de nascer mulher? Quem estaria disposto a ser a arma e condenar esta chacina? Meu corpo, Que deveria ser templo de inocência e descoberta, Foi tomado como propriedade por um, dois ou mais seres rijos. Trocam minha chucha e canções de ninar, Por tapas no rabinho encharcado de diarreia. Eu era apenas um bebé, Meu rebolado de ossos frágeis.Agora suporte para desejos de homens (grandes) Ou de grandes homens que preferiam eleger o silêncio. Eu era apenas um bebé, A inocência se dissolve, O amargo tomou os paladares, Apesar de cobardes, Pois nunca dirão que eu era apenas um bebé. Quantas mais fraldas terão de ser destruída para engrandecer a virilidade dos homens?",,Portugues
corpo,23,proteção corpo tombado/ prazer desperdiçar,corpo,castigar e desapontado/ eis o,"Numa noite crua e nua decidiste te deitar/ Debaixo da lua sobre as nuvens Despiste o corpo, libertaste a alma para um belo desposar/ Sem proteção, corpo tombado/ Prazer desperdiçado, corpo castigado e desapontado/ Eis o mês do Amor, cuide de si e da sua saúde./ Um momento de prazer sem proteção pode te custar a vida! Se proteja./ De: Aissa Abdul Karimo",,Portugues
corpo,53,para continuar a abusar de o,corpo,de o mulher isso ser violência,"Não é a saia que é curta, não é por causa da hora. Não é por causa da bebida que ela consumiu, nem da hora que ela regressou a casa. Essas são desculpas que usam para continuar a abusar do corpo das mulheres. Isso é violência, é machismo, é patriarcado e deve ser denunciado. Violência contra as mulheres e raparigas não têm desculpa, tem lei. Seguiremos_Em_Marcha_Ate_Que_Todas_Sejamos_Livres.",,Portugues
corpo,21,a o inúmero vez que seu,corpo,exalar embriaguez e sem nenhum,"Me pediu perdão mas como eu vou esquecer que ele levantou a mão?/   Como apagar as noites onde seu lado da cama não me esquentava,  às inúmeras vezes que seu corpo exalava embriaguez e sem nenhuma sensatez entrava por aquela porta!/ Olha! Faz tempo que não ti vejo aqui/ É sim, minha mãe pode ter perdoado mas eu não esqueço do pedaço de vidro que a levaria para longe mim. / E, olha minha mente tem desenhado situações onde ela morria, eu ia junto e você sorria./ E talvez ela até já tenha pensado ir se jogar do terraço enquanto você andava em amassos. / Haaa podridão da terra, levantou a mão devia partir desta para pior sim.",,Portugues
corpo,15,"adeus,/ quando se ir em",corpo,seu alma ficar em o lembrar,"Mãe Áfricana/Ela não tem medo do que há de vir a acontecer amanhã;/ Ela acredita que pode não mais partir de manhã/ Mas mesmo assim, ela prepara suas forças e amamenta seu ninho/ Numa noite de guerra, sem carinho./ Das vezes que precisa chorar, ela não tem medo de chorar/ As mães de África aprenderam logo cedo que chorar é respirar a alma./ Os olhos precisam dizer o que nos mata e acalma/ As mães de África aprenderam também a moer as incertezas para as cozinha na panela da vitória./ Mãe Áfricana não sabe dizer adeus,/ Quando se vai em corpo, sua alma fica nos lembrando das suas lutas armadas./ Uma mulher africana é uma flor eternamente amada/ Em África, não se abandona as pessoas, Um dia precisamos delas!/ Quando se pode declarar uma vitória tão sólida sem as mulheres? / As mulheres não mentem/ Quando dizem que conseguem,/ Coragem de gerar, nenhum homem tem!/ Uma mulher corajosa é africana/ África dos nossos ancestrais/ África nossa também!/ Lizete Sitoe",,Portugues
corpo,104,parte mais sagrado de o meu,corpo,responsável por gerar e gerir,"Cheguei triunfalmente portando uma mala com algumas roupas, depois de ter escolhido a dedo as melhores sedas para ocultar meus mamilos e me proteger do frio. A minha calcinha mais confortável protegia a parte mais sagrada do meu corpo, responsável por gerar e gerir outras vidas. E foi então que cheguei. Caminhava ao som dos murmúrios das pessoas ao meu redor, olhares tão frios e espantados. Os dedos apontados distantes e algumas mãos tapavam o rosto das crianças, impedindo eas de testemunhar aquele sacrilégio. Que serão aqueles casulos cobrindo o brilho daquela mulher? perguntavam espantados, numa aura de perplexidade. E do meu lado, não era fácil lidar com tantos olhares julgadores que me fitavam como se fossem juízes. Travei meus passos para buscar ar. Inspirei e expirei. Uma das crianças rebeldes veio correndo e puxou meu cachecol, e foi então que percebi que o problema eram os tecidos. Por que estranham esses tecidos se cobrem minha riqueza? Me questionava, com a voz da razão em minha cabeça. Como não esconder as mathunas sob a Capulana e como andar livremente, com o vento a estimular minhas entranhas? E foi então que as pessoas começaram timidamente a se aproximar de mim. As mulheres, com suas armas afiadas, e os homens ocupavam a rua à minha frente e me seguraram. As mulheres desferiram sobre minha roupa golpes com fúria incontida. Uma espada atingiu minha blusa, fazendo tombar. Uma enxada arrancou meu lenço, tirando partes dos cabelos. Uma forte rajada de mãos disputou meus tecidos com avidez até que, enfim, fiquei como mandavam as regras: Nua.",,Portugues
