idioma,texto_entidade,tipo_entidade,contexto
es,Además,PER,Además tener hijos no garantiza compañía tampoco.
es,¿,LOC,"Solo venía a decir lo lejos que me siento, y me he sentido siempre, de esa cosa que dicen que siente toda mujer en algún momento de sus vidas y que si no la sientes eres mala mujer, egoísta, diabólica y que para qué has venido a este mundo, esto me lo vino a decir un tipo, si una mujer no quiere procrear, ¿cuál es el sentido de su existencia?."
es,Serafín,LOC,"En fin, Serafín, le dije yo, recogí mis cosas y me fui."
es,Serafín,LOC,"La no_maternidad es una elección, entérate, Serafín."
es,Serafín,LOC,"Fin, Serafín."
es,Maternidad,LOC,Maternidad.
es,Las Mujeres Parimos,LOC,"Las Mujeres Parimos, Las Mujeres Decidimos."
es,dale,PER,"No sé la de veces que he tenido que explicar que no quería ser madre, todavía eres muy joven, ya te llegará Y dale."
es,Prima,LOC,"Prima, elegir por nosotras mismas nos hace más libres."
es,base_científica,LOC,"El SAP es una construcción misógina y sin ninguna base_científica, pero todavía a día de hoy sigue vigente en el imaginario_colectivo, perpetuando el estereotipo de la madre perversa."
es,Alucinemos,PER,"Alucinemos todas juntas, primas."
es,Compórtate,PER,"Compórtate como una señorita, significa que hay una serie de normas a seguir. ¿"
es,Y ¿,LOC,Y ¿qué tenemos que hacer nosotras como oprimidas?
es,Cuestionar,LOC,"Cuestionar, aprender, unirnos y luchar."
es,¿,LOC,"Querido señoro patéticus, deja de mirarte el ojete y ponte a luchar para acabar con el machismo en todas sus formas, deconstrúyete, haz un análisis profundo, señala toda injusticia, ponte gafas violetas. ¿"
es,Día_de_las_Escritoras,LOC,Hoy es el Día_de_las_Escritoras.
es,tenía,LOC,"Un ejemplo típico sería el caso de Charlotte_Brontë, que cuando tenía 20 años envió una selección de sus poemas al poeta británico Robert_Southey y recibió la siguiente respuesta."
es,británico Robert_Southey,PER,"Un ejemplo típico sería el caso de Charlotte_Brontë, que cuando tenía 20 años envió una selección de sus poemas al poeta británico Robert_Southey y recibió la siguiente respuesta."
es,Jane Eyre,PER,"Por suerte, la futura autora de Jane Eyre ignoró su consejo."
es,Coronado,PER,"Amiga, dice Coronado que si te violan tienes que ir a denunciar al segundo_1."
es,Ojo,PER,"Ojo con no disociarte, ni sufrir un episodio_de_despersonalización, ni meterte en la cama para llorar 3 días, ni nada."
es,Dice Coronado,PER,Dice Coronado que otra cosa que no sea el segundo 1 a él no le vale.
es,Así,PER,Así que no procrastines.
es,¿A,ORG,¿A qué edad empezásteis a sufrir acoso_callejero?
es,Basta,LOC,Basta ya de obviar a los hombres en la ecuación de la violencia_machista.
es,Qué,LOC,¿Qué pasa hoy?
es,Todavía,PER,"Todavía quedan muchas injusticias contra las mujeres que tenemos que denunciar, ¿que somos extremistas? ¿"
es,¿,LOC,"Todavía quedan muchas injusticias contra las mujeres que tenemos que denunciar, ¿que somos extremistas? ¿"
es,¿,LOC,"Todavía quedan muchas injusticias contra las mujeres que tenemos que denunciar, ¿que somos extremistas? ¿"
es,Extremismo,LOC,Extremismo es sufrir una desigualdad brutal sin que se tomen las medidas necesarias.
es,¿A,ORG,¿A qué edad empezásteis a sufrir acoso callejero?
es,Tribunal_Superior_de_Justicia_de_Navarra,LOC,"Desdice así lo sostenido por la Audiencia_de_Navara, primero, y por el Tribunal_Superior_de_Justicia_de_Navarra, después, que los consideraron culpables de un delito de abuso_sexual con prevalimiento con nueve años de cárcel pero no de agresión_sexual."
es,El Supremo,LOC,El Supremo asegura que se trató de un auténtico escenario intimidatorio en el que la víctima en ningún momento consiente.
es,España,LOC,"Hoy, de nuevo, una mujer asesinada por su pareja en España."
es,Llevamos,LOC,Llevamos más de 50 feminicidios en lo que va de año.
es,Basta,ORG,Basta ya.
es,Empezamos,PER,"Empezamos repasando algunos casos mediáticos, y entrevistamos a Sonia_Vaccaro, psicóloga forense que acuñó el término violencia_vicaria."
es,Ley_Trans,LOC,"Volvemos a rescatar a Noemí_Gonzáles, maestra y activista_feminista en su entrevista dentro del Especial_Crítica_feminista a la Ley_Trans en el Radiojaputa_113 para hablar sobre coeducación y lo que supodrá su aprobación."
es,También,PER,"También, copan las portadas las odas a Sánchez_Dragó, orgulloso abusador de unas niñas de trece años."
es,Además,PER,"Además, tenemos que luchar por nosotras todos los días del año os dejo aquí esta recopilación de frases y que cada una decida cómo usarlas."
es,Empieza,LOC,Empieza la cuenta atrás
es,dia_dela_niña Recordemos,ORG,Hoy es el dia_dela_niña Recordemos que necesitamos empoderar a las futuras generaciones.
es,Hagamos,LOC,"Hagamos lo posible por que ellas crean firmemente que son capaces conseguir cualquier cosa, por mucho que la sociedad les diga que no y les ponga mil trampas."
es,Ayer,ORG,Ayer.
es,Alzando,PER,Alzando la voz.
es,8_m,PER,"Delante y que el mundo nos oiga 8_m, huelga_feminista."
es,Mujeres Vosotras,LOC,"Huelga_Feminista Paráis el mundo, paráis la Historia Vosotras, Mujeres Vosotras, Luchadoras Delante, al frente de la justicia, delante, el futuro ya es presente, delante vosotras, protagonistas Adelante, Huelga_Feminista, Porque nunca más oprimidas, nunca más olvidadas, nunca más heridas vuestra Revolución es Vida Adiós desigualdad, esperanza de equidad, Mujeres libres y vivas Huelga_Feminista."
es,Luchadoras Delante,LOC,"Huelga_Feminista Paráis el mundo, paráis la Historia Vosotras, Mujeres Vosotras, Luchadoras Delante, al frente de la justicia, delante, el futuro ya es presente, delante vosotras, protagonistas Adelante, Huelga_Feminista, Porque nunca más oprimidas, nunca más olvidadas, nunca más heridas vuestra Revolución es Vida Adiós desigualdad, esperanza de equidad, Mujeres libres y vivas Huelga_Feminista."
es,Adelante,PER,"Huelga_Feminista Paráis el mundo, paráis la Historia Vosotras, Mujeres Vosotras, Luchadoras Delante, al frente de la justicia, delante, el futuro ya es presente, delante vosotras, protagonistas Adelante, Huelga_Feminista, Porque nunca más oprimidas, nunca más olvidadas, nunca más heridas vuestra Revolución es Vida Adiós desigualdad, esperanza de equidad, Mujeres libres y vivas Huelga_Feminista."
es,También,PER,También de sanación y esperanza.
es,Así,PER,Así que rescatamos este especial para que al oírlo os sintais acompañadas.
es,Día_Internacional,ORG,Desliza hoy es el Día_Internacional contra la violencia hacia las mujeres.
es,Nos,PER,Nos vemos en las calles hermanas.
es,violencia_de_género,ORG,Mañana 25_N únete a la manifestación en contra de la violencia_de_género de tu ciudad.
es,Mañana,PER,"Mañana salgamos  a las calles para frenar la violencia_machista, por mí, por ti y por todas mis compañeras."
es,Dia_Internacional de la Mujer Trabajadora,PER,"El Dia_Internacional de la Mujer Trabajadora, el 8_M, debería servir como un faro de lucha y resistencia para las mujeres trabajadoras, y aquí entramos todas las que si no trabajamos, no comemos."
es,Dulceidas,LOC,"Es decir, el 8_M no es el día de Ana_Botín, no es el día de Ana_Obregón, ni el día de las Carmen_Lomana, las Marta_Ortega, las María_Pombo, las Dulceidas o las Tamara_Falcó, ni de ninguna mujer con menos pompa y seguidores pero que viva de las rentas de los 20 pisos que le dejó su abuelo, ni de ninguna empresaria cuyo capital le llegó de una herencia de su padre."
es,wc,ORG,"El 8_M es el día de las limpiadoras del hogar, que trabajan en negro partiéndose el lomo, de las que hacen camas en los hoteles y limpian el wc para que otros se lo encuentren impoluto."
es,Compañeras,LOC,"Compañeras, que no nos tiemble la voz al gritar, abolición o barbarie."
es,Compórtate,PER,Compórtate como una señorita significa que hay una serie de normas a seguir. ¿
es,Y ¿,ORG,Y ¿qué tenemos que hacer nosotras como oprimidas?
es,Cuestionar,LOC,"Cuestionar, aprender, unirnos y luchar."
es,Nuestras,PER,Nuestras abuelas fueron criadas para ser esposas y madres y educarnos como tal... pero muchas de ellas han comprendido que nuestro destino lo elegimos nosotras  ¿Os pasa con vuestras abuelas?
es,¿Os,ORG,Nuestras abuelas fueron criadas para ser esposas y madres y educarnos como tal... pero muchas de ellas han comprendido que nuestro destino lo elegimos nosotras  ¿Os pasa con vuestras abuelas?
es,Día_Internacional,LOC,Hoy es el Día_Internacional del Trabajo_Doméstico.
es,Androcentrismo,PER,"Androcentrismo hace referencia a la práctica, consciente o no, de otorgar al varón y a su punto de vista una posición central en el mundo, las sociedades, la cultura y la historia."
es,Androcentrismo,PER,"Androcentrismo es que la endometriosis siga siendo tan desconocida, que no importe la violencia_obstétrica y que todavía tengamos que seguir peleando por el derecho_al_aborto en demasiados países todavía y velando por no retroceder en este derecho donde ya está, si el embarazo fuese cosa de ellos, otro gallo cantaría."
es,Androcentrismo,PER,"Androcentrismo es que en ilustraciones de la evolución de la humanidad, cuando no se dice del Hombre, siempre aparezcan ilustraciones de ellos."
es,Androcentrismo,PER,Androcentrismo es el genérico_masculino.
es,Androcentrismo,PER,"Androcentrismo son tantas cosas que pasan desapercibidas, que si no te paras a analizar podrías no darte ni cuenta."
es,Kollontai,LOC, Kollontai y La_Bolchevique_Enamorada.
es,La_Bolchevique_Enamorada,LOC, Kollontai y La_Bolchevique_Enamorada.
es,Entrevistas,ORG,Entrevistas a filósofas y teóricas_feministas.
es,Apropiación,ORG,Apropiación vs Extractivismo_cultural.
es,Extractivismo_cultural,LOC,Apropiación vs Extractivismo_cultural.
es,Pacifismo,PER,Pacifismo por obligación es pasividad_forzada.
es,Mensajes,LOC,Mensajes sociales que separan a niñas de niños.
es,tenían vello,PER,Desde que tengo uso de razón recuerdo anuncios donde chicas les decían a sus amigas que no podían ir a la playa o la piscina con ellas porque tenían vello.
es,Visibilizad,PER,Visibilizad esto cada día hermanas.
es,Perdón,LOC,"Perdón, pero natural es en ambos casos."
es,Imposiciones,LOC,Imposiciones es lo que nos quieren vender.
es,Sexo,PER,Sexo no es género.
es,Puntualizo,PER,Puntualizo algunos conceptos del artículo de mi blog.
es,Mirad,PER,"Mirad este otro dibujo que ha preparado, refleja a la perfección el significado de cada idea."
es,Según,PER,"Según estos genitales externos, desde el nacimiento, la mayoría de niñas son criadas para ser complacientes, sumisas, débiles, sensibles, emocionales y para que se dediquen a las tareas domésticas y los cuidados de las personas."
es,violencia_de_género,ORG,"Si queremos eliminar la violencia_de_género, estructural, que no la violencia_intrafamiliar, tenemos que educar en igualdad a niñas y niños."
es,Resolución_66/170,PER,"El 19_de_diciembre_de_2011, la Asamblea_General_de_las_Naciones_Unidas adoptó la Resolución_66/170 para declarar el 11 de octubre como Día_Internacional_de_la_Niña."
es,El Día_Internacional_de_la_Niña,LOC,"El Día_Internacional_de_la_Niña se conmemora cada año para crear conciencia sobre la situación de las niñas en el mundo, reconocer sus derechos y los desafíos únicos a los que se enfrentan, especialmente en los países en desarrollo, así como promover su empoderamiento y el cumplimiento de sus derechos_humanos."
es,Tenía,LOC,"Tenía algo casi mágico, y se convirtió en un ámbito con un cierto aura de leyenda, reservado a gente pionera, habilidosa y valiente hasta lo temerario, porque en los inicios de la aviación, volar era especialmente peligroso, claro."
es,Así,PER,Así que las pioneras de la aviación fueron mujeres que desafiaron de forma muy directa los estereotipos_de_género.
es,Empezó,PER,"Empezó a reflexionar sobre la desigualdad_entre_sexos, y a intentar promover cambios palpables en la legislación_patriarcal_estadounidense."
es,Catharine,PER,"Catharine concentró sus esfuerzos en luchar_contra_la_violencia, la explotación y los abusos_sexuales_contra_las_mujeres desde el pensamiento_legal_feminista."
es,También,PER,"También ha sido muy activa contra la pornografía, consciente de que fomenta la violencia_contra_la_mujer."
es,MacKinnon,PER,"Otro frente en el que MacKinnon ha puesto mucho empeño es el de la lucha_contra_a_prostitución y la trata, donde luchó mano a mano con Andrea_Dworkin."
es,techo_de_cristal,ORG,"Las mujeres nos enfrentamos a muchas barreras en el mundo profesional, techo_de_cristal, suelo_pegajoso, brecha_salarial, acoso_laboral, uniformes_machistas, exigencias_estéticas, aparte de ser las que dominamos las estadísticicas de empleos_precarios_y_temporales."
es,Conozco,ORG,Conozco el proyecto de Tati desde hace mucho y quería vos enseñar.
es,Tati,LOC,Conozco el proyecto de Tati desde hace mucho y quería vos enseñar.
es,Esperemos,LOC,Esperemos que llegue el día en que no sea necesario
es,Hermosuras,LOC,"Hermosuras, este es un tema importante, ya que seguramente habremos visto ilustraciones aconsejando poner las llaves entre los dedos para defenderte, cuando en realidad muchas profes de autodefensa lo desaconsejan totalmente, ya que con mucha probabilidad solo lastimará, haciendo que nuestra defensa sea menor."
es,Madrid,LOC,"Sí alguna quiere se pone violenta, hay cursos de defensa personal gratuito en Madrid."
es,Cómo,LOC,"Cómo somos, ¡¿eh?!"
es,¿,LOC,"Cómo somos, ¡¿eh?!"
es,Radiojaputa,LOC,"Las oyentas de Radiojaputa, colaboradoras y compañeras del equipo hemos hecho este clip de audio, un amiga, date cuenta sonoro."
es,Ojalá,PER,"Ojalá llegue a muchas, muchas adolescentes y mujeres de todas las edades para que sepan que no es normal, no está bien, no es amor."
es,Radiojaputa 104,LOC,En el Radiojaputa 104 repasamos la historia reciente del feminismo en España.
es,España,LOC,En el Radiojaputa 104 repasamos la historia reciente del feminismo en España.
es,piedra cómo,LOC,"Parece que estuviera tallado en piedra cómo es el amor que te hace vibrar, pero nosotras podemos lo reescribir, sacarnos ese veneno que intoxica uno de los sentimientos más intensos que existe. ¿"
es,Qué,LOC,Qué otros mitos del amor romántico deberíamos reescribir?
es,pelis Disney,LOC,"Otro de los mitos del amor_romántico, ese que nos vuelve imbéciles y sumisas y que tenemos arraigado por culpa de las comedias románticas y las pelis Disney es el Mito del emparejamiento."
es,Basado,LOC,Basado en una maravillosa iniciativa de @libproyeccion que recomiendo que sigáis.
es,Escoger,PER,Escoger en función del mérito es lo ideal solo si todos los aspirantes han tenido las mismas oportunidades para llegar hasta ahí.
es,¿,LOC,también la cultura. ¿
es,Qué,LOC,Qué pensáis de estas cifras?
es,Territorio de Nabos,PER,Me sumo al movimiento Sin Mujeres No Voy ilustrando los datos recopilados por Territorio de Nabos.
es,Más,PER,"Más no me queda otro sustento, si mi puesto conservar pretendo, trabajar gratis hasta fin de año debo."
es,Subsistiré,PER,Subsistiré con lo q pueda y comeré menos.
es,Venderé,PER,"Venderé poemas, chicles y pañuelos."
es,Gracias,LOC,"Esto sí es radical, esta brecha salarial, Gracias por su aportación."
es,Próxima,LOC,"El 71 de 100 de las mujeres sufre carga mental y solo el 12 de100 de los hombres lo experimenta, según datos del estudio realizado en España por la web Próxima."
es,Ley Trans,ORG,"Hoy rescatamos este fragmento de nuestro especial Ley Trans, donde hablamos con nuestra compañera sobre los conceptos despatologización y desestigmatización."
es,Además,PER,Además queremos mostrar todo nuestro apoyo y cariño por el acoso y persecución que está sufriendo.
es,jamás,PER,"Y eso, amigas, teniendo en cuenta, que a la inmensa mayoría de las mujeres que han sido robadas, mangoneadas y expoliadas ni las conocemos ni las vamos a conocer jamás, como siempre lo que sabemos es la punta del iceberg."
es,Tenía,LOC,"Tenía algo casi mágico, y se convirtió en un ámbito con un cierto aura de leyenda, reservado a gente pionera, habilidosa y valiente hasta lo temerario porque en los inicios de la aviación, volar era especialmente peligroso, claro."
es,Así,PER,Así que las pioneras de la aviación fueron mujeres que desafiaron de forma muy directa los estereotipos de género. ¿
es,o. ¡¡Etiqueta,PER,Un buen padre es el que se responsabiliza todos los días de la crianza de su hija/o. ¡¡Etiqueta a madres y padres que conozcas para que cuenten su experiencia sobre corresponsabilidad!!
es,María Salmerón,PER,"El delito de María Salmerón: no haber llevado a su hija, en ese momento menor de edad, al punto de encuentro familiar para que viera a su padre, tal como lo había acordado la justicia."
es,llegó,PER,"Él fue condenado a 21 meses de cárcel y alejamiento por la agredir, pero nunca llegó a cumplir dicha condena, ni siquiera le fue conmutada por trabajos a la sociedad."
es,Ella,LOC,Ella.
es,Dejo,LOC,Dejo enlace a la noticia en mi perfil por unos días.
es,Rosi,PER,"Puede que este año no haya muchos invitados/as, puede incluso que ninguno, y ni siquiera se canten villancicos, pero igualmente Rosi sabe perfectamente quién se encargará de todos los"
es,Polonia,LOC,"Polonia es uno de los países más católicos de Europa, y uno de los países donde la Iglesia tiene más poder y más capacidad para influir en la vida pública y política."
es,Europa,LOC,"Polonia es uno de los países más católicos de Europa, y uno de los países donde la Iglesia tiene más poder y más capacidad para influir en la vida pública y política."
es,Iglesia,ORG,"Polonia es uno de los países más católicos de Europa, y uno de los países donde la Iglesia tiene más poder y más capacidad para influir en la vida pública y política."
es,¿,LOC,"Ya nos podemos imaginar qué significa eso para las polacas, ¿no?"
es,Sierra Leona,LOC,"Pese a su ilegalización en 2007, el matrimonio infantil sigue siendo un problema grave en Sierra Leona."
es,Entre,LOC,Entre el 40 y el 50 de 100 de las adolescentes del país se han casado antes de cumplir los 18 años.
es,ONU,ORG,"Esto se solapa y retroalimenta con otros problemas como la altísima mortalidad materna, la mayor del planeta según la ONU."
es,¿,LOC,"Y el padre, ¿dónde está?"
es,Comunidad de Madrid,LOC,"Parece una película en blanco y negro pero, no, hablamos de la Comunidad de Madrid y del año 2023."
es,Feminista,LOC,"Como ya os contamos, en Feminista ilustrada hemos empezado una etapa centrada en el emprendimiento femenino y el desarrollo profesional."
es,OIT,ORG,"La OIT subraya la importancia de adoptar el principio de igual remuneración por trabajo de igual valor, entre tras medidas."
es,Dejo,PER,Dejo articulo en relación con esto en mi perfil durante unos días.
es,Aprovechad,PER,"Aprovechad, especialmente los que dicen librichisiliriilniixisti para leerlo."
es,Día Europeo,ORG,"Hoy es el Día Europeo de la Igualdad_Salarial, una fecha en la que recordamos que las mujeres europeas cobramos de media un 15 de 100 menos que nuestros compañeros, teniendo que trabajar 418 días, 53 más, para igualar el sueldo de los hombres en 1 año."
es,Belisa,PER,"Esta semana hemos tenido con nosotras a Belisa hemos hablado sobre los datos, estudios y condiciones que se tienen en cuenta para saber la brecha salarial de las mujeres con discapacidad."
es,Está,PER,"Está siendo una semana especialmente dura, con tanta censura y fascismo legitimado, y la incertidumbre de si, el domingo, cambiarán nuestras vidas y retrocederemos décadas."
es,Congreso,ORG,Sea cual sea el color que llene los asientos del Congreso tenemos que estar fuertes y unidas.
es,Día de la Niña,ORG,"Para las personas que se pregunten por qué tiene que haber un Día de la Niña, les recordamos que, desde que nacen, el patriarcado y el machismo ya van condicionando las vidas de todas las niñas del mundo y, en algunos casos, supone además el sufrimiento de violencia, abusos y explotación de todo tipo."
es,la Infancia,LOC,"Si tanto molesta este día, que luchen para que la Infancia sea igualitaria y equitativa, y todas las niñas y todos los niños puedan crecer sanos, libres y educados desde el ámbito feminista, para que en el futuro, esos niños no sean hombres machistas, maltratadores, violadores, etc, y esas niñas sean mujeres que no sufran ninguna discriminación, ninguna cosificación, ningún techo de cristal, ningún tipo de violencia, ninguna injusticia y no sean menos que nadie."
es,Así,PER,"Así que prima, no decaigas, abre bien los ojos, sigue firme a las bases del feminismo y alza la voz, no estas sola, estamos entre el resto, sólo tenemos que encontrar y seremos más fuertes."
