id,country,texto,hashtags,doc_origin,source,date,manual_theme,url,notes,idioma
Brasil_0011,Brasil,"O abuso psicológico pode vir de familiares, de amigos ou de parceiros íntimos, e acontece aos poucos e intercalado com momentos bons, o que vai deixando a vítima dependente emocionalmente, e cada vez mais frágil psicologicamente, fazendo com que seja muito difícil sair da relação.","['legenda_11', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0012,Brasil,"Expressar e receber reconhecimento, gratidão e amor é maravilhoso, o ponto aqui é que façamos isso sem esquecer que mãe é uma pessoa, que tem direito de errar e de pensar em si mesma, que não existe pra cuidar dos outros, sem naturalizar sua sobrecarga, e que cobremos maior participação dos pais. Quer ver meus outros posts sobre esse tema? 👉#FEfuncaoCuidadora (ao repostar, apague minha hashtag) 💜Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com #culpaMaterna #RomantizaçãoDaMaternidade #DiaDasMães #sobrecargaMaterna","['#sobrecargaMaterna', '#FEfuncaoCuidadora', '#culpaMaterna', '#RomantizaçãoDaMaternidade', 'legenda_12', '#DiaDasMães', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0013,Brasil,"Como a romantização da maternidade impactou a sua vida? Pra mim prejudicou a minha relação com minha mãe, já que por muito tempo eu achava que ela devia ser muito mais dedicada à maternidade do que ela era. Quer ver meus outros posts sobre esse tema? 👉#FEfuncaoCuidadora 💜Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com #feminismo #maternidade #romantizaçãoDaMaternidade","['#maternidade', 'legenda_13', '#romantizaçãoDaMaternidade', '#FEfuncaoCuidadora', '#feminismo', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0014,Brasil,"Muitas pessoas que buscam esses procedimentos têm dificuldade de achar um médico que os realizem. Os médicos falam ""não vou fazer porque você é jovem e depois vai querer ter filho"", ""e se você casar e seu marido quiser filhos?"", ""minha religião diz que isso é errado""... minha cunhada por exemplo, falou pra obstetra que queria que aproveitassem a cesárea que ela ia fazer pra fazer laqueadura, deixou expresso por documento até, e a médica não fez porque disse que ela devia ter mais filhos, isso que ela estava tendo a segunda filha já. *errata: a lei atual é 14.443/2022","['legenda_14', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0015,Brasil,"Traduzi esse pensamento que @louisathelast fez no X/twitter que achei bem interessante. A mesma coisa que é usada pra desresponsabilizar homens de seus erros (a embriaguez), é usada pra culpar mulheres de violências a qual foram VÍTIMAS. Quando se trata de um homem, a embriaguez é um atenuante, quando se trata de uma mulher, um agravante, mesmo ela sendo a vítima, e ele o agressor.","['legenda_15', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0016,Brasil,"Quando eu tinha 19 anos eu quis tentar ser modelo pra ganhar uma graninha extra. No fim das contas a agência de modelos era meio que um golpe porque te fazem pagar pelo book e pelo curso de modelo e depois nunca te arranjam nenhum trabalho. Mas enfim lá eles me disseram que eu era muito velha pra ser modelo porque o ideal é ter 14 anos! Tanto pra fotos de revista quanto pra passarela. Quando eu via fotos em revistas nunca imaginei que aquelas ""mulheres"" tinham apenas 14 anos. Eles pegam meninas que nem desenvolveram totalmente seus corpos pra nos dizer como é a beleza ideal em uma mulher. É uma infantilização do nosso conceito de beleza feminina. . . De forma alguma estou chamando ninguém de pedófilo aqui, e sim levantando a questão de que pelos e outras características consideradas feias são na verdade parte natural do corpo de adultos. Todos nós fomos contaminados com a pressão social, nosso gosto ""pessoal"" é de certa forma construído artificialmente. Por isso é importante tomarmos consciência e assim já estamos um pouco mais no controle de quem somos, sem aceitar tudo o que nos é imposto culturalmente sem questionar. A preferência por corpos depilados não é biológica e sim cultural, até porque até 70 anos atrás pelos eram vistos com naturalidade inclusive em mulheres, e ainda é assim em muitos países. Pelos não estão no nosso corpo a toa, eles têm funções: protetora, sensitiva, termorreguladora. Os pelos das axilas ajudam a diminuir a fricção do movimento dos braços. Os pelos pubianos são responsáveis pela regulação da temperatura e pela proteção adicional contra danos físicos à pele. E são um atestado inconfundível de que o corpo se encontra sexualmente maduro — servindo, portanto, para atrair o sexo oposto (ou não). E se a pessoa toma banho todos os dias não tem porque achar pelos anti-higiênicos, são tão limpos quanto cabelo e barba, que ninguém considera anti-higiênicos. Quer ver meus outros posts sobre esse tema? 👉 #FEpelosNoCorpo 👉#FEculturaDaPedofilia 👉 #FEfuncaoBeleza . #feminismo #autoestima #mulhereslivres #feminismonao #padraodebeleza #mulhereslivres #feminismoliberta #pressaoestetica","['#mulhereslivres', '#pressaoestetica', '#autoestima', '#feminismoliberta', '#FEfuncaoBeleza', '#FEculturaDaPedofilia', '#feminismonao', 'legenda_16', '#padraodebeleza', '#feminismo', '#FEpelosNoCorpo', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0017,Brasil,"1. Mostra como pra desmontar o poder dos homens, mulheres precisam perceber que estão sendo oprimidas, e se unir pra libertar outras mulheres. 2. Mostra como uma sociedade onde as mulheres têm direitos ainda assim é frágil, pois podem perder direitos a qualquer momento. 3. Mostra que quando percebemos que nos impuseram ideais de feminilidade e masculinidade, é libertador, mas ao mesmo tempo, é duro construir a própria identidade fora desses caminhos pré-definidos. 4. Mostra como é impossível cumprir tudo que exigem das mulheres, ao quererem que sejamos lindas, boas mães, bem sucedidas na carreira, sexys sem ser vulgar, e etc. 5. As Barbies manipulam os Kens a odiarem e rivalizarem uns com os outros pra tomar o poder, assim como o patriarcado coloca mulheres pra rivalizarem entre si, e odiarem umas às outras. Claro que o filme não vai questionar o capitalismo, o colonialismo, o imperialismo... É um filme pra vender boneca, galera. Se você achou que seria diferente, faltou manejar sua expectativa. Outros posts meus sobre feminismo em filmes: #FEFilmes","['#FEFilmes', 'legenda_17', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0018,Brasil,"1 a cada 4 pessoas que tem um parto sofre violência obstétrica no Brasil (fonte: estudo “Mulheres brasileiras e gênero nos espaços público e privado”, realizado pela Fundação Perseu Abramo em parceria com o SESC). Denuncie: Secretaria de Saúde, Agência Nacional de Saúde, ou Ligue 180. Exemplo de humilhações que gestantes passam (alerta gatilho): ""na hora de fazer foi bom, né? Agora aguenta!"", ""Seu útero é uma me*da! Não dá contração!"", ""Para de gritar senão vou embora e vou te deixar aqui sozinha!"", ""Não sei porque você está reclamando. Até na Bíblia tá dizendo que mulher tem que sofrer pra ganhar filho"". Mais posts sobre esse tema na hashtag #FEmisoginiaMédica #MisoginiaMédica *Errata: eu falei ""mulher"" em algumas frases, mas estou falando de qualquer pessoa que está passando por um trabalho de parto.","['#FEmisoginiaMédica', '#MisoginiaMédica', 'legenda_18', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0019,Brasil,"As denúncias não precisam ser feitas exclusivamente nas delegacias de mulheres. Se for mal atendida, pegue o nome de quem fez o atendimento pra prestar queixa, e vá em outra delegacia. Pra ver meus outros posts sobre o tema 👉 #FENãoÉPrivilégio","['#FENãoÉPrivilégio', 'legenda_19', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0020,Brasil,"Se você gosta de Woody Allen, é indispensável que você assista esse documentário: Farrow v. Allen, que está no momento na HBO max. Isso não é um anúncio, é que o documentário é excelente mesmo, e tirar qualquer dúvida que alguém possa ter de que Allen abusou da filha. E me revolta pensar que todos demoraram tanto a aceitar isso. Não boicotá-lo é ser conivente com o que ele fez: não só com o abuso, mas com a difamação de Mia Farrow, pra tentar acobertar o próprio crime. Mia ficou anos sem conseguir trabalho nos EUA. Ele nunca assumiu seus erros, continua negando até hoje, mas pelo menos, depois de 30 anos do abuso, está sofrendo alguns consequência, com dificuldade de trabalhar nos EUA. #FarrowVAllen","['legenda_20', '#FarrowVAllen', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0021,Brasil,"Mulheres que de alguma forma combateram a misoginia, ou defenderam direitos pra mulheres. Na época delas, feminismo nem existia. Imagina o tanto que deve ter sido difícil pra essas mulheres ir contra o que era considerado indiscutível! Aviso: algumas mulheres apesar de pioneiras nos aspectos mencionados, também foram influenciadas por sua época e defenderam coisas que hoje consideramos erradas. Ah, e adoraria falar de mulheres diversas, mas essas foram as que encontrei. Se você conhece outras, pode me falar. 😊 Para ver mais sobre esse tema veja a minha hashtag #FEHistoriaDoFeminismo (ao repostar não use minha hashtag). #HistoriaDoFeminismo","['#HistoriaDoFeminismo', '#FEHistoriaDoFeminismo', 'legenda_21', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0022,Brasil,"Eles acham que as medidas de combate ao machismo são privilégios de mulheres. Citam a lei Maria da Penha, a lei do feminicidio, a delegacia da mulher como privilégios de mulheres, ignorando o fato de que foram medidas importantes do combate à violência que mulheres sofrem dentro de casa, em geral de parceiros.","['legenda_22', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0023,Brasil,"Concorda? Acrescentaria algo? Uma ideia legislativa pra criminalização da misoginia está em votação no site e-cidadania, o link está nos stories. Mais pautas sugeridas nos comentários: -combate à misoginia médica, violência obstétrica e ginecológica. -Creches e escolas de qualidade com atividades no período da tarde. -Licença menstrual. -Responsabilizar sites de pornografia do material que é subido pra eles, pois existem estupros reais sendo publicados, e eles demoram a analisar e remover. -Criminalização de músicas e propagandas que erotizam crianças. -treinamento de profissionais da saúde pra atenderem gestantes em trabalho de parto sem que aconteça violência obstétrica. -que parem de separar produtos em ""de homem"" e ""de mulher""(onde o ""de mulher"" é sempre mais caro sem motivo)","['legenda_23', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0024,Brasil,"Antifeministas dizem que o feminismo nunca conquistou nada pelas mulheres, então fiz um compilado com todas as conquistas de direitos das mulheres. Muitas mulheres tiveram que lutar por esses direitos. E ainda temos caminho pela frente.","['legenda_24', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0025,Brasil,"Já fui assim, e você? Eu consegui me livrar disso depois de muita terapia onde fui melhorando minha autoestima, e percebendo o erro de pensar que é possível agradar a todos, e de que sendo assim as pessoas vão sempre nos amar. Além disso não ser verdade, coloca-se o amor dos outros acima do amor próprio. Recomendo ver os reels que tenho sobre esse tema. #síndromeDaBoazinha #feminismo #autoestima #burnOut #papéisDeGênero #feminilidade","['#papéisDeGênero', '#autoestima', '#síndromeDaBoazinha', '#burnOut', '#feminismo', '#feminilidade', 'legenda_25', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0026,Brasil,"E porque você está preocupada em desagradar uma pessoa que não te respeita? Com medo de ferir os sentimentos de quem demonstra não ter consideração pelos seus? #praTodosVerem no vídeo começo do lado direito com um vestido branco e faixa rosa no cabelo, e minha interlocutora sou eu do lado esquerdo com vestido preto e faixa amarela no cabelo. #limites #colocandolimites","['legenda_26', '#praTodosVerem', '#limites', '#colocandolimites', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0027,Brasil,"As pessoas querem culpar a vítima por isso dar algum tipo de conforto pra quem escuta a história do abuso, como se ela tivesse controle sobre as violências que pode sofrer. É a “falácia do mundo justo”, que consiste em pensar que coisas boas acontecem com pessoas boas, e coisas ruins acontecem com pessoas ruins. Falácia é um raciocínio que parece lógico mas é enganoso. Usando essa crença, a pessoa acha que se “for boa”, e “tomar cuidado”, estará sempre imune a sofrer abusos. O que não é verdade, já que qualquer pessoa pode sofrer violência: pessoas boas e pessoas ruins, e as que “tomam cuidado” e as que não tomam, até porque é comum a violência vir de pessoas conhecidas, em quem confiamos. Por isso temos que responsabilizar agressores e prevenir que pessoas se tornem abusadores, ensinando sobre consentimento e combatendo a cultura de estupro. Cultura de estupro é justificar, legitimar, relativizar, banalizar, glamurizar, ou mesmo que sem intenção, levar a violência sexual. Este post é parte do meu próximo livro, onde explico cultura de estupro com muitos exemplos. Quer ver meus outros posts sobre esse tema? 👉 #FEculturaDeEstupro #culturaDoEstupro","['#FEculturaDeEstupro', 'legenda_27', '#culturaDoEstupro', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0028,Brasil,"A ideia aqui não é atacar blogueiras, mas sim trazer reflexão pra suas consumidoras. 1. Essas blogueiras espalham o padrão de beleza. 2. Elas querem te convencer de que precisa comprar cosméticos e procedimentos estéticos (porque ganham pra isso). 3. Você não deve beleza a ninguém. Tem muita coisa mais importante na vida que beleza. 4. Beleza é subjetivo e não devia ter padrão. 5. Não tem nada de errado com sua beleza natural. Você não precisa se modificar pra caber numa ideia de beleza irreal e excludente. #praTodosVerem quando falo de blogueiras, aparece uma ilustração de uma mulher branca, loira, magra, maquiada, com uma roupa estilosa, segurando um drink na mão. Depois vou citando as pessoas que trabalham pra ela e cada trabalhador que cito tem uma ilustração correspondente. No final aparecem todos os trabalhadores ao fundo e a blogueira na frente.","['#praTodosVerem', 'legenda_28', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0029,Brasil,"E rugas não são um problema. São parte normal de não morrer jovem hehe. São símbolos de experiência de vida, e possibilidade de sabedoria. Não estou impedindo ninguém de fazer nada, apenas convido a refletir sobre. O padrão de beleza coloca a juventude como ideal de beleza, juventude essa que tem relação com ingenuidade e falta de experiência, ou seja, mais fácil de ser manipulada. Porque rugas não são valorizadas como símbolo de sabedoria e experiência de vida? Me refiro neste post a aplicação de botox por motivos estéticos e não de saúde, e com ""botox"" a qualquer tipo de neuromodulador, substâncias que reduzem a contração muscular. #botox #beleza #padrãoDeBeleza #pressãoEstética #envelhecimento","['#pressãoEstética', 'legenda_29', '#envelhecimento', '#padrãoDeBeleza', '#botox', '#beleza', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0030,Brasil,"Gaslaite é uma manipulação psicológica com a intenção de fazer a pessoa duvidar da própria sanidade, percepção e inteligência. Costuma acontecer em relações amorosas ou familiares pois leva meses ou anos, minando a autoestima da pessoa até ela realmente achar que está distorcendo a realidade. É muito compreensível você não conseguir dar essas respostas se já está num longo processo de deslegitimação do seu psicológico. Mas fica aqui a dica de respostas para serem usadas pra cortar esse comportamento logo no início. Quer ver meus outros posts sobre esse tema? 👉#FERelacionamento (ao repostar apague minha hashtag). #gaslaite #gaslight #relacionamentoAbusivo #feminismo #gaslighting","['#gaslaite', '#gaslight', '#gaslighting', 'legenda_30', '#relacionamentoAbusivo', '#FERelacionamento', '#feminismo', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0031,Brasil,"Ao fazer isso, o homem se coloca como avaliador da mulher, é uma forma sutil de demonstrar dominância. Assim como as cantadas de rua também, como expliquei no meu vídeo do reels sobre o tema. Existem cursos pra homens que ensinam essa ""técnica"". 🤪 É importante conhecemos a respeito pra sabermos identificar quando estiver acontecendo. Alguns dos exemplos eu tirei de experiências pessoais. Quer ver meus outros posts sobre o tema? 👉#FEmicroagressao Quer ver meus outros posts de termos relevantes pro feminismo? 👉 #FEglossario (ao repostar por favor não copie minha hashtag) #negging #flerte #paquera #feminismo","['#feminismo', '#FEglossario', '#paquera', '#FEmicroagressao', 'legenda_31', '#negging', '#flerte', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0032,Brasil,"Como é a sua ideia de como deve ser uma relação amorosa? A minha são pessoas independentes que estão juntas porque é agradável estar junto. Quer ver meus outros posts sobre esse tema? 👉#FERelacionamento (ao repostar apague minha hashtag). ⭐Muito obrigada aos meus apoiadores💜, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou também pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com #feminismo #mitoDoAmorRomantico #amorRomantico #amorSaudavel #amorReal #saudeMental #relacionamentoAmoroso #relacionamentoSaudavel #vidaADois #AmorProprio #Casal","['#amorRomantico', '#saudeMental', '#amorReal', '#relacionamentoAmoroso', '#AmorProprio', '#mitoDoAmorRomantico', 'legenda_32', '#amorSaudavel', '#relacionamentoSaudavel', '#FERelacionamento', '#feminismo', '#vidaADois', '#Casal', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
Brasil_0033,Brasil,"O machismo estava tão naturalizado na minha cabeça que quando eu era adolescente assistia esses filmes de sequestro com romance e achava legal. Depois que me mostraram o quanto isso é absurdo me pergunto como pude não notar o absurdo. E como consequência desses filmes temos mulheres acreditando que podem mudar homens problemáticos com o seu amor, o que só resulta em relacionamentos abusivos e possivelmente violentos. Quando digo ""romance"" quero dizer que existe uma trama de romance dentro do filme, e não que esses é o gênero do filme. Os roteiristas e produtores são pessoas como nós, afetados pela cultura que aprenderam desde criança e escrevem histórias que consideram interessantes de acordo com as referências que possuem. Quer ver meus outros posts sobre esse tema? 👉#FEproblemasNaMidia #feminismo #trope #filmes #midia #sexismo #machismo #roteiro #series #mulhernamidia #romance #relacionamentoabusivo #sequestrocomoromance","['#filmes', 'legenda_33', '#mulhernamidia', '#roteiro', '#sexismo', '#FEproblemasNaMidia', '#trope', '#machismo', '#midia', '#series', '#relacionamentoabusivo', '#sequestrocomoromance', '#feminismo', '#romance', 'bra_cyber']",BRASIL.docx,DOCX Original,,,,,Portugues
