país,codigo legenda,texto,idioma
Chile,*chi_cyber *legenda_11,"Como Mujeres_Bacanas nos sumamos a esta tremenda campaña que busca generar conciencia sobre salud_mental de adolescentes post_pandemia, invitando a las jóvenes a crear redes y espacios de confianza. Muchas veces opinamos sobre el cuerpo de las demás, y los demás opinan sobre nuestro cuerpo. Cuidemos lo que decimos de los otros. Ayúdanos a crear adolescencias femeninas más felices y sanas, y una sociedad más acogedora en la que se erradique la discriminación y los estereotipos, difundiendo esta campaña. Esta es una campaña de Pulso Austral, en el marco del concurso Chile Compromiso_de_Todos_y_Todas, Segundo Semestre 2021, del Ministerio_de_Desarrollo_Social, que busca promover en niñas y adolescentes la salud_mental y equidad_de_género.",Espanhol
Chile,*chi_cyber *legenda_12,"Margaret_Sanger fue una enfermera y feminista que luchó toda su vida por el control_de_la_natalidad, instaurando incluso el término como tal. Un 1914 inició una campaña de concienciación_social sobre la necesidad de desarrollar métodos_anticonceptivos que frenaran los embarazos_no_deseados. Con ese objetivo fundó una revista femenina titulada La_Mujer_Rebelde que defendía la anticoncepción bajo el lema Sin_dioses_ni_maestros. 2 años más tarde abrió la primera clínica de control_de_la_natalidad en los Estados_Unidos e incluso fue arrestada por distribuir información sobre métodos_anticonceptivos.",Espanhol
Chile,*chi_cyber *legenda_13,"¿Te has sentido incomoda y pasada a llevar en una consulta_médica? ¿Te han hecho un comentario fuera de lugar? ¿Han minimizado tus sintomas por temas que no vienen al caso dentro de un diagnóstico_médico? Sí, a pesar de que muchas personas no lo crean, somos miles de mujeres las que hemos sentido violencia en las consultas de salud, en el centro de atención_primaria, en hospitales y clínicas_privadas. Violencias que comienzan desde la sesgada y mínima investigación en ciencia, que continúa con violencia_simbólica, hasta llegar a maltratos directos, discriminaciones e incluso temáticas aún más graves como lo es la violencia_obstétrica. Estamos hartas del abuso de poder, de la minimización de nuestros síntomas, de siempre echarle la culpa al peso o enviarnos automáticamente a salud_mental sin hacerse cargo de la salud_física también. La violencia_simbólica es la violencia invisible, la violencia que parece sutil, que parece inofensiva, que parece un chiste. Pero no se dan cuenta que cada una de estas situaciones son sólo la base del iceberg de un sin fin de acciones que llevan a la continua violencia_contra_la_mujer y las disidencias. Siempre recuerda que como pacienta tienes derechos, y dentro de éste existe el derecho a dejar un reclamo respecto a los profesionales que te atienden y el ponerle límites al profesional_de_la_salud. Cuando alzamos la voz poniendo límites sobre abusos, estamos también hablando desde muchas otras mujeres a las que el patriarcado les ha callado. Post realizado desde la Subdivisión de Datos_Secundarios de la Comisión_de_Investigación, creados a partir de la recopilación de datos de diversas fuentes con fines de divulgación científica.",Espanhol
Chile,*chi_cyber *legenda_14,"Abrimos pregunta! La desprivatización de experiencias personales es el primer paso para comenzar a deconstruir los estereotipos_de_género. Compartir nuestras historias y testimonios nos hace entender la importancia de que lo personal es político, ya que al hablar sobre nuestras inseguridades las validamos como un síntoma de este sistema injusto y violento.  En nuestro camino como Rebelión_del_Cuerpo descubrimos que al visibilizar las vivencias se genera una identificación_emocional muy fuerte, porque si a todas nos ha tocado es porque no somos el problema, el problema es social y juntas podemos levantar la voz para derribar las barreras que nos limitan y condicionan. Te invitamos a dejarnos tus experiencias en comentarios o directo al inbox, porque juntas somos más fuertes ¿Qué has dejado de hacer por sentirse condicionada por ser mujer?",Espanhol
Chile,*chi_cyber *legenda_15,"Día_Nacional_contra_el_Femicidio Esther_Pineda en su libro Cultura_femicida, 2019 señala que vivimos en una cultura_femicida que subvalora la vida de las mujeres en relación a la vida de los hombres, aceptando y difundiendo el asesinato de mujeres como mecanismo_de_control y dominación_masculina. Se trata de una cultura que acepta, naturaliza y justifica el asesinato de mujeres por el hecho de ser mujeres, encubre y garantiza la impunidad de los asesinos. También la cultura_femicida se promueve, promociona e incita a estos tipos de crímenes, por ejemplo, a través de la música, la literatura, la publicidad, el cine, entre otras. Con la reproducción constante y sutíl de la violencia_simbólica. Has visto o recuerdas algun ejemplo de estos?",Espanhol
Chile,*chi_cyber *legenda_16,"Hoy conmemoramos el día_internacional de la eliminación de la violencia_contra_la_mujer, fecha que busca concientizar y sensibilizar para dar un alto a los diferentes tipos de violencias a las que se enfrentan niñas y mujeres. Aquí te contamos sobre la importancia de este día, la necesidad de erradicar este fenómeno para salvaguardar los derechos_humanos y el origen de esta fecha reivindicativa.",Espanhol
Chile,*chi_cyber *legenda_17,"¿Cómo es el Chile que queremos y cómo lo logramos? Somos una comunidad, donde ustedes nos comparten sus inspiraciones y pasiones. Por lo mismo hoy queremos usar este espacio para mirar lo que sucede en nuestro país y que dialoguemos. La invitación es a comentar, conversar, reflexionar.",Espanhol
Chile,*chi_cyber *legenda_18,"mujeres_bacanas_chilenas hay de todas las edades y Julieta_Martínez es una de ellas. A los 15 años creó la plataforma Tremendas para conectar a quienes están buscando de manera activa mejorar el mundo, la idea es visibilizar y unir a jóvenes que usan sus talentos para apoyar causas de impacto_social. Este año participó en el Foro_Generación_Igualdad de la ONU en París. La invitamos a ser parte de nuestro aniversario y esto respondió. ¿Qué significa para ti ser bacana?. Es una mujer que lucha por las causas que la movilizan y apasionan, pero de una forma que trascienda en otras. Es compañera ante todo. Cree y crea sentido de comunidad y hace historia con una fuerza sorora y colectiva. ¿Cuál ha sido para ti el gran hito o avance de las mujeres en los últimos cinco años?. La manifestación profunda y sin fronteras del feminismo. Una lucha transversal, diversa, intergeneracional, interracial e inclusiva. Ya no sólo se trata de derechos y oportunidades, sino de un cambio sistémico en las desigualdades estructurales normalizadas en nuestra sociedad actual. Un consejo de otra bacana que te haya potenciado y motivado en la vida. Si quieres generar cambios, ve a buscarlos. Recuerda Julieta que en esta lucha no estás sola.",Espanhol
Chile,*chi_cyber *legenda_19,"Quien te quiere te aporrea, los que pelean se aman, el amor todo lo soporta son algunas de las frases con las que muchas nos criamos y crecimos. Hoy es el Día_Nacional_Contra_La_Violencia_En_El_Pololeo y es imperativo visibilizar esta fecha, ya que la violencia que se sufre en estas relaciones nos marcan a la hora de relacionarnos a futuro, y así como las frases que mencionamos arriba, también se han normalizado ciertos actos como controlar quién te llama y escribe, con qué amigos te juntas, qué ropa utilizas o a cuál fiesta vas, entre tantas cosas más que son actos de violencia disfrazados de amor. Queremos invitarlas a reflexionar sobre las situaciones que han vivido y que con el tiempo se dieron cuenta que realmente era violencia. Ya sabemos que no éramos histéricas sino que somos históricas y que ya no estamos solas. Puede ser que al leerlas, alguien que quizás está siendo víctima de violencia en el pololeo pueda identificar estas conductas y deje de pensar que es ella la que esta exagerando. Las leemos.",Espanhol
Chile,*chi_cyber *legenda_20,"¿Por qué la violencia sigue siendo estrategia_de_marketing?. Desde que somos infantes hemos escuchado frases como quien te quiere te aporrea, los que pelean se aman, si te pega es porque le gustas de manera que históricamente se nos ha dado a entender que amor y violencia van de la mano sino no es amor de verdad. Nos preocupa que, a pesar de los esfuerzos por erradicar estas ideas nocivas, sigan tan vigentes en la actualidad y surjan de forma tan casual en espacios tan cotidianos como cuando se habla de un producto para el cabello. Si bien esta publicidad puede parecer inofensiva y a simple vista un chistecito, hay detrás un equipo que ha decidido vender un producto a través de esta asociación, que termina por normalizar y perpetuar la Violencia_de_Género, culpabilizando a las mujeres por sus elecciones; esto es Violencia_Simbólica y es necesario visibilizarlo, denunciarlo y erradicarlo. Creemos que es urgente promover el desarrollo de un pensamiento crítico en esta materia, cuestionar lo establecido y exigir un marketing ético. ¿Se te ocurren otros ejemplos donde se normalicen las relaciones violentas culpabilzando a la mujer por su elección? Te leemos.",Espanhol
Chile,*chi_cyber *legenda_21,"Hoy en día está muy de moda escuchar hablar de relaciones de pareja_tóxicas. Este concepto muchas veces se usa para referirse a prácticas y tratos que podrían estar dando cuenta de violencia_en_el_pololeo. Desde niñas y niños os nos convencieron de que si Te trata mal es porque le gustas, o Te cela porque le importas, ideas que tenemos muy normalizadas. Es por eso que debemos aprender a cuestionar y reconocer la violencia en sus formas más sutiles también. Estamos más acostumbradas a reconocer la violencia_física pero también existe violencia cuando en la relación hay manipulación, control, chantaje_emocional, aislamiento, gritos, amenazas, celos y cualquier transgresión de tus límites y necesidades personales. También puede haber violencia a través de redes_sociales mediante la revisión del celular de la otra persona, la exigencia de compartir claves_personales, la exigencia de aplicaciones para conocer la ubicación de la persona, entre otras. El presionar y forzar a la otra persona a mantener relaciones_sexuales también son señales de violencia_sexual en el pololeo. Te invitamos a cuestionar la idea del amor porque el amor no es sinónimo de sacrificio ni sufrimiento. Si estás sufriendo violencia no estás sola, puedes acercarte.  Fono orientación 1455.",Espanhol
Chile,*chi_cyber *legenda_22,"Cuando los padres de esta afgana le dijeron, a los 16 años, que debía casarse para que ellos consiguieran dinero, Sonita_Alizadeh decidió levantar la voz. Como tantas menores de edad que han crecido bajo el régimen_talibán, el matrimonio_forzado es una realidad más de la vida. Pero Sonita, que había estudiado música y artes en una organización sin fines de lucro cuando su familia huyó de Afganistán a Irán, hizo un video donde rapeaba sobre no querer ser entregada a un hombre que no conocía. El video se volvió viral, su familia no la casó, y hoy Sonita estudia en Estados_Unidos, buscando ser una vocera en contra del matrimonio_infantil.",Espanhol
Chile,*chi_cyber *legenda_23,"La abogada tanzana Rebeca_Gyumi fundó Msichana_Initiative, ONG que tiene como objetivo empoderar a las niñas de su país a través de la educación para que aspiren a ser más que esposas y madres. Con su activismo logró derogar la ley que permitía que las niñas se casaran a los 14 años con una orden_judicial y a los 15 con el consentimiento de su madre y padre. Antes del falló histórico que anuló la Ley_de_Matrimonio que permitía que niñas se casaran, en Tanzania cada año casaban a 12 millones de niñas antes de los 18 años, 23 chicas por minuto. La práctica de casarlas de pequeñas es legal en más de 90 países, lo que las vuelve más vulnerables a sufrir violencia, pobreza y falta de educación. En su infancia vio cómo algunas de sus compañeras dejaban la escuela al casarse y embarazarse. A los 20 años se dio cuenta que esta era una realidad nacional. Recién supo sobre la Ley_de_Matrimonio de 1971 cuando ingresó a la universidad a estudiar derecho. En 2016, luego de ejercer como abogada algunos años, Rebeca junto a sus colegas decidieron presentar una petición contra la Ley_de_matrimonio. Recopilaron informes para demostrar que el matrimonio_infantil para las niñas era un problema en todo el país y por qué debía detenerse. Desafió el sistema_legal en su país Tanzania y ganó un falló histórico: elevar la edad para contraer matrimonio a 18 años. A pesar de recibir algunas críticas por socavar las creencias culturales y religiosas, la mayoría de sus connacionales apoyaron su lucha para acabar con el matrimonio_infantil. El Tribunal_Superior de Tanzania dictaminó que el matrimonio de menores de edad era inconstitucional, aunque el año pasado un grupo apeló. Dijeron que el matrimonio_infantil protegía a las niñas de quedar embarazadas antes de casarse. Fue nombrada Mujer_del_año 2016 por la revista New_Africa. Ganadora del Premio_Global_Goal de UNICEF y el Premio de Derechos_Humanos de la ONU, por su lucha por los derechos de las niñas tanzanas, en 2020 la incluyeron en la lista de las 100 mujeres de la BBC.",Espanhol
Chile,*chi_cyber *legenda_24,"Ser mamá es lo más hermoso que te puede ocurrir, la maternidad te va a cambiar la vida, es una experiencia que todas debieran vivir, ya que solo así conoces el amor verdadero, la lactancia es lo mejor que le puedes ofrecer a tu hije. Frases que construyen la maternidad solo desde vivencias positivas romantizan la experiencia y generan frustración, ya que comienzas a compararte desde lo que conoces y lo que se presenta como aceptable y admirable. Como la modelo que casi no tiene secuelas físicas visibles a las semanas, la mamá de la revista que decoró la pieza con sistema_Montessori o la madre de instagram que viste a su hijx elegante junto al pastel que cocinaron. Si solo tienes esos referentes es fácil hacerse una idea de una maternidad perfecta sin complicaciones, ya que se muestra solo una parte, un mínimo instante. Probablemente el resto del día no sea así, pero eso no te lo cuentan. La publicidad y los medios se han adueñado de la maternidad, y nos venden un modelo ideal de madre feliz, exitosa, que todo lo puede, dejando fuera la realidad de la mayoría. No hay una sola forma de vivir la maternidad, por eso se habla de maternidades, ya que hay tantas como madres. Es duro darse cuenta que quizás no es como te lo contaron, puede que duela gestar, parir, tener cesárea, intentar lactar, puede que duela ver tu nuevo cuerpo y que te cueste conectar nuevamente con tu lado sexual, puede frustrarte el sentir que ya no tienes tiempo para ti y que perdiste toda intimidad. Puede que por momentos te sientas sola y creas que no puedes compartir tus emociones por miedo a ser juzgada. Por momentos no reconoces los vaivenes_emocionales e incluso a veces sientes rechazo a tu hijx o te angustia su llanto. Otras ocasiones puedes sentir que tus hijxs limitan tu libertad, que estás aburrida, arrepentida o bien que son el motor de tu vida y que eres afortunada. En fin, tantos sentimientos y realidades que no se hablan. Por eso nos parece importante visibilizar distintas experiencias para dejar de idealizar la maternidad y entender que no hay una sola forma de maternar, y así poder soltar las culpas y bajar las expectativas. Cuéntanos tu opinión! Maternidad.",Espanhol
Chile,*chi_cyber *legenda_25,"El día_de_las_madres nace como un movimiento anti_guerra cuando Anna_Harvis, organiza a otras mujeres durante la guerra_civil para conseguir mejoras sanitarias para sus hijos, soldados heridos en combate, y también crea una especie de tratado_de_paz entre madres para no enviar a sus hijos a matar a otros hijos. De ahí, que se instauró este día, pero con el tiempo el mercado lo consumió. ¿Qué lucha sería la de hoy? debemos reapropiarnos y resignificar este día_de_las_madres. ¿Por qué? Porque seguimos en una lucha constante, de poder mirar el rol de una madre mujer sin juicio, sin presión. Sigue existiendo esa mirada hacia las mamás de que todo lo pueden, las súper mamás, esas que sin importar nada, lo hacen todo y la verdad, es que sí, hay algunas que sí lo hacen, pero. ¿Y las que no?. ¿Qué pasa con las que nos rendimos, las que nos agobiamos más rápido que el prototipo_de_madre? ¿Las que nos miramos al espejo y no vemos a una súper_madre, sino a una mujer poco valorada?. Teniendo que cumplir con todo y más porque vivimos en una sociedad que impone metas inalcanzables y que lo único que logra es generar madres agotadas, intentando siempre hacerlo mejor porque sabemos que todo lo podemos y no podemos fallar. Y cómo no hacerlo, cuando el trabajo_doméstico no es valorado como tal, cuando la crianza se sigue mirando como un rol netamente de la mujer y al hombre que realiza labores_del_hogar como un ser funcional, es mirado como lo mejor que te pudo haber tocado la vida, cuando la maternidad está mirada desde una publicidad de estereotipos errados, donde a la madre se le ve contenta y dispuesta a todo, ¡siempre! No. No tenemos por qué ser mujeres multifuncionales, sino que el resto ha depositado esos roles y responsabilidades que se deberían tener en conjunto. Parecemos super_heroínas y, al final, lo somos, pero por obligación, porque no queda de otra y lo somos a un alto costo que nadie ve. La maternidad es política y la sociedad debe generar cambios que acaben de una vez con las presiones y todas las desigualdades que afectan a las madres. Y lo más importante: la maternidad será deseada o no será.",Espanhol
