País;Codigo Legenda;Texto
Brasil;*Bra_cyber *legenda_12;Vem com a gente aprender a ler imagem. Vi que muitas pessoas estavam achando difícil identificar quando está acontecendo objetificação ou não. Eu primeiro fiquei confusa com isso porque pra mim é muito óbvio, mas aí lembrei que fiz uma matéria na faculdade, Análise da Linguagem Visual, e pensei que muitas pessoas não devem saber ler imagens e por isso estão com dúvidas. Então fiz esses quadros pra ajudar quem está com dificuldade. Sobre a mulher se auto_objetificar, acredito que o contexto é importante. Por exemplo, a diferença entre uma mulher que só mostra foto_sensual e mais nada, e uma que fala sobre vários assuntos, demonstra vários traços de sua personalidade, e de vez em quando posta uma foto_sensual. Coloquei a Anitta porque tinha muita gente usando ela como exemplo pra desqualificar a problematização da objetificação, e eu acredito que exista diferença em uma pessoa com carreira de música postar foto da própria bunda e um cara que posta fotos de bundas de mulheres que só estão lá por serem gostosas. Mas entendo que a questão Anitta é controversa.
Brasil;*Bra_cyber *legenda_13;Desde a denúncia de estupro contra o jogador Daniel Alves, a defesa apresenta versões diferentes e que se contradizem. A cada versão desmentida, surge outra. Todas elas tentando descredibilizar e desacreditar a mulher que teve uma única versão, apresentando exames e imagens para comprovar o que disse em seu depoimento. A última estratégia da defesa do jogador causou muita repulsa: para eles, a relação_sexual teria sido consentida, afinal a mulher estaria lubrificada. Médicos e especialistas caracterizaram como absurda a tentativa de manipular um provável mecanismo de defesa do corpo_da_mulher para inocentar Daniel Alves. Acontece que cada mudança de versão acaba sendo uma violência a mais a quem teve o corpo_violado. Ela já disse que não quer dinheiro, que não vai mostrar seu rosto. Quer justiça. Mas a pergunta que fica é exatamente esta: quantas versões um homem precisa dar pra que se acredite na mulher?
Brasil;*Bra_cyber *legenda_14;Britney Spears ilustra algumas das situações de assédio e misoginia que a cantora foi vítima, como quando um apresentador perguntou se ela ainda era virgem e outro questionou sobre o tamanho de seus seios. Ela tinha dezessete anos na época. Em dois mil e sete, sufocada por tamanha pressão_psicológica que a fama lhe trouxe, Britney passou por um momento profundamente delicado em termos de saúde_mental, e teve sua imagem associada a de uma mulher desequilibrada e louca. Por conta desses eventos, desde 2008 a cantora está sob tutela exclusiva do pai Jamie Spears, que controla suas finanças e, essencialmente, todos os outros aspectos de sua vida. Em 2019, seus fãs, através da hashtag freebritney começaram a fazer apontamentos de que Britney sofria violência_patrimonial, violência_física e violência_psicológica. Na última semana, Spears rompeu o silêncio e confessou perante a Corte de Los Angeles, na Califórnia que sua tutela é abusiva, que tem seu corpo, sua vida, sua carreira, TUDO sob controle de seu pai e da rede de tutores que ele formou, empresários, médicos, advogados. Que até mesmo suas funções sexuais e reprodutivas foram colocadas em xeque, Britney foi obrigada a colocar DIU para que não pudesse engravidar. Toda essa situação vivida por Britney Spears demonstra o quanto nossos corpos são violados pela dominação_patriarcal e pelo machismo, não importa qual posição você ocupe.
Brasil;*Bra_cyber *legenda_15;Ter relatado a Lei_Maria_da_Penha foi motivo de muito orgulho para mim. Ouvi, aprendi e pude construir um texto que hoje faz dezesseis anos salvando vidas. Isso só foi possível pela enorme contribuição do movimento_feminista. Advogadas, militantes, vítimas. FEMINISTAS. Um governo comprometido com a luta_das_mulheres. Na luta pelo fim da violência_doméstica. Assim foi construída a Lei que previne e pune para ERRADICAR. A todas que tem sua marca nesta conquista, meu muito obrigada!
Brasil;*Bra_cyber *legenda_16;Não ensine mulheres a prevenir serem estupradas, ensine os homens a não estuprar. Vamos ensinar! Parece óbvio mas tem muito homem bom por aí que já cometeu estupro e nem percebeu que foi estupro, acha que foi apenas uma transa. A cultura_do_estupro, que coloca a culpa do estupro na vítima, faz homens pensarem que não foi errado: Ah mas ela é minha namorada, tem que transar quando eu quero, ela foi até lá pra dar pra mim, então não foi estupro, começou, agora termina. E estupro é visto como algo tão horrível, que a pessoa tenta se justificar ao máximo pra não admitir que estuprou alguém, nem pra si mesmo. Os que estupram sem perceber estão sendo misóginos sim, já que não estão preocupados com o prazer da mulher. Não estou dizendo que são menos piores do que os que estupram de propósito. Felizmente, esses que estão agindo sem perceber são mais fáceis de mudar, com educação. Estou falando por exemplo de um homem que está focado no próprio prazer a ponto de não perceber que a mulher não está curtindo. Ela não está resistindo ou mandando parar, apenas não está curtindo. Quero chamar a atenção pra que homens prestem atenção, percebam o parceiro ou parceira e parem na hora que isso acontecer. É claro que também tem homens que sabem muito bem o que estão fazendo, e acham que podem fazer o que quiserem porque compram a justiça. O pior que podem mesmo. justiça_por_mari_ferrer. Eu não estou falando de leis quando digo o que é estupro. Eu sou ativista então estou defendendo o que acho certo, e como eu acho que as leis deveriam ser. E não sou só eu, no meio feminista em geral, até onde entendo, é isso que se defende. Adolescentes maiores de 14, não deveriam se relacionar com adultos, a não ser que a diferença de idade seja pequena. Mas por exemplo, uma menina de 14 com um cara de 30, pra mim é estupro sim. 17 anos com um cara de 50? Também. Mesmo que hoje a lei seja diferente disso.
Brasil;*Bra_cyber *legenda_17;Essa é uma microagressão. O mais importante dela não é a interrupção em si mas o que ela representa: uma desconsideração da fala de mulheres, uma demonstração de misoginia. Nem quis explicar muito dessa vez, porque achei que o post do omachodarelacao explicou muito bem e quis colocar bastante exemplo, porque às vezes o exemplo explica melhor que qualquer texto. Eu não assisto Faustão, e fiquei com essa dúvida se ele faz isso com todo mundo. Mas quando vi compartilharem esse vídeo fiquei muito agoniada. Acho que tem um agravante na conversa homem e mulher, que é o homem é ensinado a dominar a conversa, e a mulher é ensinada a agradar e ser simpática e acolhedora, por isso a dificuldade de falar por cima da interrupção, e por mais que ele interrompa tanto homens quanto mulheres, quando é com mulheres é pior por conta dessa combinação.  O quadrinho da página oito é da t.s.carm.
Brasil;*Bra_cyber *legenda_18;Um passo a passo do relacionamento abusivo! Feito pela lorenakaz.art, esse vídeo demonstra como os insultos vêm de forma sutil, quase que imperceptíveis, disfarçados de elogios ou de proteção. Aos poucos, o cara vai moldando a mulher conforme seus interesses. E a mulher vai perdendo sua individualidade, sua identidade. Triste realidade de muitas de nós.
Brasil;*Bra_cyber *legenda_19;Quantas vezes os elogios, a boa conversa e a gentileza dos homens só acontece até o momento em que a mulher diz não? É como se devessemos os compensar com sexo, por nos tratarem como gente. Isso faz parte de uma cultura_misógina de objetificação dos corpos_femininos, que se retroalimenta pelo fato de mulheres estarem acostumadas demais a serem tratadas mal e de forma machista, e muitas vezes terem medo de dizer não. Faça sexo apenas com quem você deseja fazer. Você não precisa transar por retribuição ou porque se sente emocionalmente chantageada. Sylvia Plath foi uma poeta, romancista e contista norte_americana.
Brasil;*Bra_cyber *legenda_20;VOCÊ SABE O QUE É GASLIGHTING? É um tipo de abuso que atinge as mulheres das formas mais sutis até as mais graves. O abusador é capaz de manipular, violentar psicologicamente desgastando a autoestima da mulher, a anular, gerar insegurança, dúvidas, receios e medos. Expressões como: você está louca!, você está exagerando, você está inventando coisas são usadas para descredibilizar ou invalidar os argumentos da mulher, a levando a duvidar de seu próprio julgamento. O termo gaslighting tem origem no filme Gas_Light (À Meia Luz), de 1944, estrelado por Ingrid Bergman e Charles Boyer. O longa é uma adaptação de uma peça de teatro de 1938. Na trama, o marido tenta convencer a mulher, e as pessoas que a cercam, de que  ela é louca, manipulando pequenos elementos de seu ambiente e insistindo que ela está errada ou que se lembra de coisas de maneira incorreta. Nisso basicamente consiste esse tipo de abuso_psicológico. O abusador altera a percepção da realidade da vítima fazendo com que não seja consciente que ela esteja sofrendo de um abuso ou de uma situação que deve denunciar. VOCÊ NÃO ESTÁ LOUCA!
Brasil;*Bra_cyber *legenda_21;Não é que os abusadores façam isso conscientemente, com a intenção de manipular a pessoa. Mas é normal se decepcionar quando se coloca alguém em um pedestal. Então o abusador pode expressar essa decepção criticando a vítima constantemente, mas o erro foi dele em fantasiar que ela era perfeita. Você tem experiência com isso? Se sim, como foi?
Brasil;*Bra_cyber *legenda_22;Mulheres são 91,5_por_cento das vítimas de violência de parceiro íntimo segundo o boletim Violência_por_parceiro_íntimo contra homens e mulheres no Brasil: dados da vigilância de violências e acidentes, do ministério_da_saúde em 2020.
Brasil;*Bra_cyber *legenda_23;O abuso_psicológico pode vir de familiares, de amigos ou de parceiros_íntimos, e acontece aos poucos e intercalado com momentos bons, o que vai deixando a vítima dependente emocionalmente, e cada vez mais frágil psicologicamente, fazendo com que seja muito difícil sair da relação.
Brasil;*Bra_cyber *legenda_24;Maternidade é política. E não deveria ser discutida minimamente apenas no dia das mães. A responsabilidade que recai sobre as mães passa por toda a estrutura de uma sociedade_desigual, racista e patriarcal. Falar de maternidade é falar sobre tudo isso, é uma questão diária, não deveria ser uma discussão feita de modo tão raso apenas no dia_das_mães.
Brasil;*Bra_cyber *legenda_25;Segundo dados do Instituto_Brasileiro_de_Geografia_e_Estatística, 11,5_milhões de mães criam seus filhos sozinhas no Brasil. Nos 4 primeiros meses deste ano, mais de 55_mil crianças foram registradas sem o nome do pai. O que isso significa? Que o abandono_paterno é uma prática_cultural. Enquanto mulheres não tem direito a decidir se querem ou não manter uma gestação, homens tem a paternidade como uma opção, uma escolha feita em uma sociedade que culpabiliza e responsabiliza as mães pela criação e educação dos filhos. Este problema está longe de ser um debate individual familiar, é preciso que olhemos para os números, e que eles gerem políticas_públicas de amparo às mães e maior responsabilização_dos_genitores. Mas isso depende de um longo processo de conscientização_social.
Brasil;*Bra_cyber *legenda_26;"Uma reflexão importantíssima feita pela danimoraesbrum. Me remeteu a uma passagem de um texto da Joanna Burigo: A maternidade é pauta_feminista porque poucas coisas são, ao mesmo tempo, tão pessoais como políticas, tão privadas quanto feitas públicas, tão íntimas quão sociais, e tão radicadas em corpos_de_mulheres. Maternidade é pauta fundamental a todos os feminismos porque desde a concepção própria, passando por todos os outros acontecimentos que a precedem e sucedem, os debates sobre o assunto revelam como gênero afeta e é afetado por questões_culturais, médicas, mercado de trabalho, direitos e tantos outros eixos ao redor dos quais a sociedade é estruturada. Debater maternidade não é apenas relevante; é determinante para as vidas das mulheres. É como a Dani disse lá na feminiismo, é possível lutar contra a maternidade_compulsória (a ideia de que todas devemos ser mães) sem reproduzir discursos_violentos contra mães e suas dores. O seu feminismo inclui mães?"
Brasil;*Bra_cyber *legenda_27;Expressar e receber reconhecimento, gratidão e amor é maravilhoso, o ponto aqui é que façamos isso sem esquecer que mãe é uma pessoa, que tem direito de errar e de pensar em si mesma, que não existe pra cuidar dos outros, sem naturalizar sua sobrecarga, e que cobremos maior participação dos pais. Quer ver meus outros posts sobre esse tema? FEfuncaoCuidadora (ao repostar, apague minha hashtag) Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com.
Brasil;*Bra_cyber *legenda_28;Como a romantização_da_maternidade impactou a sua vida? Pra mim prejudicou a minha relação com minha mãe, já que por muito tempo eu achava que ela devia ser muito mais dedicada à maternidade do que ela era. Quer ver meus outros posts sobre esse tema? FEfuncaoCuidadora Muito obrigada aos meus apoiadores, que possibilitam a minha dedicação a esse trabalho. Você pode ser um apoiador pelo link na minha bio, ou pelo picpay (Helena.milanez) ou pelo pix FaunaMiniaturas@gmail.com
Brasil;*Bra_cyber *legenda_29;Muitas pessoas que buscam esses procedimentos têm dificuldade de achar um médico que os realizem. Os médicos falam não vou fazer porque você é jovem e depois vai querer ter filho, e se você casar e seu marido quiser filhos?, minha religião diz que isso é errado. minha cunhada por exemplo, falou pra obstetra que queria que aproveitassem a cesárea que ela ia fazer pra fazer laqueadura, deixou expresso por documento até, e a médica não fez porque disse que ela devia ter mais filhos, isso que ela estava tendo a segunda filha já. errata: a lei atual é 14.443/2022
Brasil;*Bra_cyber *legenda_30;As mortas por violência_estética também são vítimas do patriarcado! Mulheres morrem tentando se adequar a um padrão_de_beleza quase que inalcançável, e a gente precisa falar sobre isso. Não se tratam apenas de decisões pessoais, mas de imposições_sociais muito violentas, que fazem com que nos coloquemos em risco_de_vida pela imagem de mulher_perfeita. Infelizmente essa realidade está cada vez mais presente.
Brasil;*Bra_cyber *legenda_31;Sandra Lee Bartky (1935 a 2016) foi professora, filósofa, doutora em humanidades, e ativista_feminista. Em 1988 escreveu seu artigo mais citado,  Foucault, Feminilidade e Poder_Patriarcal, onde detalhou normas socialmente aceitas para o corpo e o comportamento_das_mulheres. Ela explicou sua ideia de que o corpo_ideal da feminilidade é, na verdade, construído, e que a mulher_perfeita reflete as obsessões e preocupações daquela sociedade. Para Bartky, a feminilidade é uma obrigação a todas as mulheres. As que não seguem essa metodologia rígida, se tornam mulheres soltas para a sociedade. Assim, somos ensinadas a ver o nosso corpo como se fossemos o outro patriarcal.
Brasil;*Bra_cyber *legenda_32;Traduzi esse pensamento que louisathelast fez no X/twitter que achei bem interessante. A mesma coisa que é usada pra desresponsabilizar homens de seus erros (a embriaguez), é usada pra culpar mulheres de violências a qual foram VÍTIMAS. Quando se trata de um homem, a embriaguez é um atenuante, quando se trata de uma mulher, um agravante, mesmo ela sendo a vítima, e ele o agressor.
Brasil;*Bra_cyber *legenda_33;Quando eu tinha 19 anos eu quis tentar ser modelo pra ganhar uma graninha extra. No fim das contas a agência de modelos era meio que um golpe porque te fazem pagar pelo book e pelo curso de modelo e depois nunca te arranjam nenhum trabalho. Mas enfim lá eles me disseram que eu era muito velha pra ser modelo porque o ideal é ter 14 anos! Tanto pra fotos de revista quanto pra passarela. Quando eu via fotos em revistas nunca imaginei que aquelas mulheres tinham apenas 14 anos. Eles pegam meninas que nem desenvolveram totalmente seus corpos pra nos dizer como é a beleza_ideal em uma mulher. É uma infantilização do nosso conceito de beleza_feminina. De forma alguma estou chamando ninguém de pedófilo aqui, e sim levantando a questão de que pelos e outras características consideradas feias são na verdade parte natural do corpo de adultos. Todos nós fomos contaminados com a pressão_social, nosso gosto pessoal é de certa forma construído artificialmente. Por isso é importante tomarmos consciência e assim já estamos um pouco mais no controle de quem somos, sem aceitar tudo o que nos é imposto culturalmente sem questionar. A preferência por corpos_depilados não é biológica e sim cultural, até porque até 70 anos atrás pelos eram vistos com naturalidade inclusive em mulheres, e ainda é assim em muitos países. Pelos não estão no nosso corpo a toa, eles têm funções: protetora, sensitiva, termorreguladora. Os pelos das axilas ajudam a diminuir a fricção do movimento dos braços. Os pelos pubianos são responsáveis pela regulação da temperatura e pela proteção adicional contra danos físicos à pele. E são um atestado inconfundível de que o corpo se encontra sexualmente maduro, servindo, portanto, para atrair o sexo_oposto (ou não). E se a pessoa toma banho todos os dias não tem porque achar pelos anti_higiênicos, são tão limpos quanto cabelo e barba, que ninguém considera anti_higiênicos.
Brasil;*Bra_cyber *legenda_34;Mostra como pra desmontar o poder dos homens, mulheres precisam perceber que estão sendo oprimidas, e se unir pra libertar outras mulheres. Mostra como uma sociedade onde as mulheres têm direitos ainda assim é frágil, pois podem perder direitos a qualquer momento. Mostra que quando percebemos que nos impuseram ideais de feminilidade e masculinidade, é libertador, mas ao mesmo tempo, é duro construir a própria identidade fora desses caminhos pré_definidos. Mostra como é impossível cumprir tudo que exigem das mulheres, ao quererem que sejamos lindas, boas mães, bem sucedidas na carreira, sexys sem ser vulgar, e etc. As Barbies manipulam os Kens a odiarem e rivalizarem uns com os outros pra tomar o poder, assim como o patriarcado coloca mulheres pra rivalizarem entre si, e odiarem umas às outras. Claro que o filme não vai questionar o capitalismo, o colonialismo, o imperialismo. É um filme pra vender boneca, galera. Se você achou que seria diferente, faltou manejar sua expectativa.
Brasil;*Bra_cyber *legenda_35;Vocês observaram quantos homens, especialmente os apaixonados por futebol, ficaram indignados com jogadores sendo presos ou condenados por agressões_sexuais? Vocês perceberam se as instituições ou times de futebol propuseram algum tipo de reflexão sobre o assunto? Por acaso, se posicionaram a respeito disso? Os ambientes predominantemente masculinos naturalizam essas violências, os homens não se comprometem a tentar mudar conosco a cultura_machista. Todos se dizem contra os abusos e estupros, mas não há nenhum tipo de ação ou movimentação afim de combater a misoginia reproduzida dentro e fora dos espaços_masculinos. A indignação não pode continuar sendo exclusiva das mulheres.
Brasil;*Bra_cyber *legenda_36;Post com conteúdo sensível, mas extremamente necessário. Eu já estive em contato antes com relatos sobre esse tipo de crime, inclusive já ajudamos a encaminhar denúncia sobre caso parecido, há alguns anos. Mas pelo que a gente vê a situação piorou muito com o tempo. Mulheres estão tendo suas imagens_íntimas expostas em grupos de WhatsApp ou Telegram, onde acontecem trocas desse material entre PARCEIROS e EX_PARCEIROS dessas vítimas. Há relatos de que essas imagens também acabam publicadas em sites_pornô, tudo sem a ciência ou consentimento dessas mulheres. Fica o alerta de que mulheres precisam estar em alerta o tempo todo, inclusive em relações longevas e de confiança. Infelizmente essas atitudes vem de quem se menos espera. Se acontecer com você, não deixe de denunciar!
Brasil;*Bra_cyber *legenda_37;São tantas violências dentro de uma só imagem que eu mal consigo comentar diante de tanta indignação! O vereador bolsonarista Marquinhos (Partido_Social_Cristão) simplesmente achou ok agarrar a vereadora Carla Ayres (Partido_Dos_Trabalhadores) em plena sessão na Câmara de Florianópolis (Santa_Catarina). Para além da violência_sexual e da clara violência_política, Carla é a primeira vereadora lésbica da cidade, um nome importante na luta pelos direitos das mulheres e LGBT. Se dentro de uma casa legislativa uma mulher não está segura, se num lugar de formalidade, homens pensam que podem simplesmente pegar o corpo das mulheres, tocar, apertar e tentar beijar, o que eles pensam sobre nós? Toda solidariedade à vereadora, e que a casa do povo de Florianópolis faça o mínimo, que é punir e afastar este homem de suas funções. Cobraremos também da justiça, mesmo que de costume, assediadores saiam impunes se sentindo autorizados a continuarem vendo mulheres como coisas.
Brasil;*Bra_cyber *legenda_38;1 a cada 4 pessoas que tem um parto sofre violência_obstétrica no Brasil (fonte: estudo Mulheres brasileiras e gênero nos espaços público e privado, realizado pela Fundação Perseu Abramo em parceria com o SESC). Denuncie: Secretaria_de_Saúde, Agência_Nacional_de_Saúde, ou Ligue 180. Exemplo de humilhações que gestantes passam (alerta gatilho): na hora de fazer foi bom, né? Agora aguenta!, Seu útero é uma merda! Não dá contração!, Para de gritar senão vou embora e vou te deixar aqui sozinha!, Não sei porque você está reclamando. Até na Bíblia tá dizendo que mulher tem que sofrer pra ganhar filho. Mais posts sobre esse tema na hashtag FEmisoginiaMédica MisoginiaMédica Errata: eu falei mulher em algumas frases, mas estou falando de qualquer pessoa que está passando por um trabalho_de_parto.
Brasil;*Bra_cyber *legenda_39;As denúncias não precisam ser feitas exclusivamente nas delegacias_de_mulheres. Se for mal atendida, pegue o nome de quem fez o atendimento pra prestar queixa, e vá em outra delegacia.
Brasil;*Bra_cyber *legenda_40;Se você gosta de Woody Allen, é indispensável que você assista esse documentário: Farrow v. Allen, que está no momento na HBO max. Isso não é um anúncio, é que o documentário é excelente mesmo, e tirar qualquer dúvida que alguém possa ter de que Allen abusou da filha. E me revolta pensar que todos demoraram tanto a aceitar isso. Não o boicotar é ser conivente com o que ele fez: não só com o abuso, mas com a difamação de Mia Farrow, pra tentar acobertar o próprio crime. Mia ficou anos sem conseguir trabalho nos EUA. Ele nunca assumiu seus erros, continua negando até hoje, mas pelo menos, depois de 30 anos do abuso, está sofrendo algumas consequências, com dificuldade de trabalhar nos EUA.
Brasil;*Bra_cyber *legenda_41;Mulheres de diferentes países reunidas pelo Centro_de_Liderança_Global_de_Mulheres, em 1991, iniciaram a campanha 16 dias de ativismo pelo fim da violência_contra_as_mulheres, com o objetivo de promover debates, denunciar, prevenir e eliminar a violência_contra_as_mulheres e meninas em todo o mundo, segundo a Ong Mulheres Brasil. No Brasil, a campanha acontece desde 2003 e tem duração de 21 dias, com início no dia 20 de novembro, quando se celebra o Dia Nacional da Consciência Negra, e término no dia 10 de dezembro, Dia Internacional dos Direitos Humanos. Neste sentido, a campanha no Brasil cumpre um papel imprescindível, ao enfatizar a discriminação sofrida pelas mulheres_negras. Campanhas como essas são fundamentais para fomentar o debate sobre políticas_públicas de prevenção_À_violência e para conscientizar a sociedade civil no combate_à_violência. Se junte a esse movimento!
Brasil;*Bra_cyber *legenda_42;Em 24 de fevereiro de 1932 o voto_feminino foi assegurado pela legislação brasileira, resultado de mais de 50 anos de mobilização e luta dos movimentos_feministas. Mas foi só a partir de maio de 33 que nós mulheres_brasileiras passamos a ter o direito de votar e ser votadas nacionalmente. Carlota Pereira de Queirós de São Paulo foi a primeira mulher a ser eleita deputada federal da América Latina! Este direito básico existe há menos de um século e em 1932 só eram permitidas que votassem ou fossem votadas as mulheres_casadas com o aval do marido ou as viúvas e solteiras com renda própria. Regionalmente, tivemos a potiguar Celina Guimarães foi a primeira mulher registrada como eleitora, e a primeira a votar em 1927 em Mossoró, Rio_Grande_Do_Norte. Alzira Soriano foi a primeira prefeita eleita em setembro de 1928.
Brasil;*Bra_cyber *legenda_43;Lorena Cabnal é guatemalteca e integrante da Red de Sanadoras Ancestrales del Feminismo Comunitario Territorial, desde Iximulew, Guatemala. É uma importante liderança indígena maya_xinka e se declara como feminista_comunitária. Cabnal tem um forte defesa do território: Se queremos feminismos que defendam os corpos_emancipados, mas esses feminismos não falam de territórios emancipados, então a luta do feminismo não se sustenta. Eu não posso ser feminista se falo da defesa do meu corpo, da sexualidade, mas não defendo a terra. O feminismo precisa defender a terra. Afinal, onde vão viver os corpos_emancipados?
Brasil;*Bra_cyber *legenda_44;Mulheres que de alguma forma combateram a misoginia, ou defenderam direitos pra mulheres. Na época delas, feminismo nem existia. Imagina o tanto que deve ter sido difícil pra essas mulheres ir contra o que era considerado indiscutível! Aviso: algumas mulheres apesar de pioneiras nos aspectos mencionados, também foram influenciadas por sua época e defenderam coisas que hoje consideramos erradas. Ah, e adoraria falar de mulheres diversas, mas essas foram as que encontrei. Se você conhece outras, pode me falar.
